round,ndi0_count,ndi1_count
1,170,8152
2,315,7232
3,453,4392
4,379,7431
5,444,5267
6,538,5090
7,404,3984
8,287,5966
9,301,10428
10,298,4616
11,402,5677
12,482,4463
13,347,4842
14,642,6864
15,735,4829
16,552,6093
17,539,5266
18,404,5192
19,470,3131
20,409,3198
21,283,5891
22,192,7335
23,314,5448
24,555,6332
25,501,4981
26,320,2693
27,386,3188
28,460,5064
29,227,3280
30,163,5648
31,280,5046
32,433,5451
33,362,5145
34,408,3437
35,397,6864
36,279,4374
37,562,5162
38,274,3636
39,385,4716
40,365,2719
41,113,3972
42,211,4299
43,354,4473
44,366,3948
45,274,2466
46,237,1721
47,688,4623
48,478,5623
49,510,4046
50,287,6741
51,173,3923
52,334,4214
53,197,2971
54,469,4816
55,329,5819
56,193,2578
57,495,6146
58,297,3770
59,327,3891
60,506,3317
61,840,5529
62,633,5133
63,238,2239
64,51,4025
65,230,4130
66,351,4542
67,300,5180
68,509,2981
69,247,4762
70,379,4135
71,157,1482
72,88,1766
73,295,2767
74,220,3569
75,58,4348
76,252,3422
77,193,4470
78,131,2131
79,113,1520
80,450,3912
81,490,4750
82,160,4761
83,24,1797
84,167,1846
85,38,1493
86,353,2677
87,305,3284
88,176,2065
89,0,2205
90,168,2746
91,156,1642
92,34,2165
93,294,3107
94,283,2792
95,192,4188
96,153,3439
97,245,2007
98,51,1272
99,207,4656
100,470,4909
