round,total_numsym
1,96161
2,87597
3,56206
4,90859
5,66411
6,65213
7,50972
8,72261
9,125335
10,57537
11,70532
12,57272
13,60402
14,85859
15,64304
16,76957
17,67238
18,64953
19,41742
20,41949
21,72029
22,88240
23,67275
24,79813
25,63767
26,35333
27,41762
28,64168
29,40947
30,68020
31,62198
32,68478
33,64029
34,44815
35,84514
36,54457
37,66491
38,45730
39,59251
40,35974
41,47948
42,52766
43,56467
44,50306
45,32001
46,22824
47,61194
48,70896
49,53064
50,82302
51,48087
52,53090
53,37144
54,61835
55,71992
56,32449
57,76594
58,47276
59,49188
60,44480
61,73341
62,66662
63,28899
64,47908
65,50894
66,57326
67,63790
68,40305
69,58568
70,52691
71,19182
72,21736
73,35850
74,43965
75,51190
76,43036
77,54664
78,26262
79,19180
80,50568
81,61155
82,57232
83,21402
84,23598
85,17985
86,35519
87,41635
88,26272
89,25949
90,34208
91,21108
92,25755
93,39682
94,35983
95,51468
96,41872
97,26230
98,15557
99,56624
100,62152
