round,total_ul_rbg
1,21435
2,22930
3,17754
4,15059
5,30212
6,33097
7,55084
8,21254
9,57726
10,47087
11,37963
12,37881
13,24407
14,31711
15,34642
16,44827
17,35749
18,44510
19,34394
20,43257
21,33078
22,29555
23,29455
24,44677
25,39507
26,62509
27,27517
28,53026
29,50811
30,29984
31,40769
32,41092
33,46384
34,32629
35,46829
36,10833
37,47059
38,32982
39,35781
40,42202
41,40399
42,32604
43,29512
44,35088
45,28344
46,44186
47,30933
48,32638
49,41682
50,48774
51,32502
52,33302
53,44997
54,52852
55,43365
56,20168
57,30867
58,51580
59,26947
60,34407
61,42236
62,30103
63,29888
64,49998
65,33737
66,47808
67,35611
68,40718
69,46414
70,23082
71,36647
72,29345
73,29905
74,37636
75,42988
76,31835
77,23093
78,31106
79,61558
80,13549
81,21683
82,24356
83,36984
84,33174
85,33352
86,26891
87,32619
88,17965
89,51522
90,27404
91,40876
92,23322
93,42536
94,43358
95,37612
96,47589
97,41073
98,30446
99,51590
100,29784
