round,total_numsym
1,40129
2,40614
3,47801
4,47298
5,57953
6,77900
7,115525
8,58687
9,116983
10,69754
11,57795
12,59125
13,34377
14,47054
15,56252
16,69827
17,50488
18,66150
19,48419
20,53545
21,52850
22,34482
23,27055
24,49868
25,46080
26,72271
27,35402
28,63531
29,66986
30,45815
31,42478
32,46840
33,79548
34,41789
35,48700
36,11111
37,61804
38,35677
39,43163
40,58315
41,38750
42,39321
43,29860
44,49804
45,22200
46,57431
47,30833
48,31851
49,43368
50,55471
51,38858
52,31084
53,54350
54,61493
55,51376
56,18845
57,33148
58,63492
59,25905
60,34876
61,40026
62,23794
63,25824
64,71833
65,32837
66,73623
67,38355
68,37550
69,51620
70,19388
71,42131
72,28343
73,27852
74,42584
75,47230
76,32871
77,20322
78,45821
79,86143
80,11422
81,17459
82,23128
83,38051
84,31890
85,30724
86,26927
87,32308
88,11984
89,51511
90,19742
91,48483
92,21350
93,44737
94,53322
95,40247
96,60833
97,41529
98,30428
99,53827
100,27787
