round,ids
1,143
2,112;21
5,47;104;71
6,7
8,147
9,62;47;144
10,68;76;52
11,143;34
12,130;71;112
13,21;140
14,49;115
15,116;93
16,84;57;136
17,6;143
18,115;71;107;149
19,87;147;149
20,44;70;47
21,61;137
22,139;42;35
23,42;34;109
24,121;128;102;12
25,91
26,124;139;72;12;21
27,140;137
28,100;104;70;149;128
29,61;128
30,46;147
31,19;18;86
32,102;72
33,2;94;92;107
34,10;68
35,131;68;72;60
36,100
37,122;45;126;80
38,134;26;21
39,92;68;33
40,39;91;62;76
41,101;14;71;86
42,54;25;34
43,136;134;19
44,130;92;21
45,71;46;140
46,82;5;139;90
47,81;57;13
48,81;83;55
49,83;25;34
50,39;6;86;60
51,122;85;8
52,12;96;52
53,4;122;42
54,42;121;70;131
55,26;131;116
56,80
57,84;85;101
58,131;66;5;109
59,4;10
60,143;10;52
61,33;4;143;100
62,126;128;26
63,57;124;27
64,74;3;68;104
65,104;143;140
66,52;4;19;101;34
67,5;87;96;70
68,6;35;82;115
69,71;4;44;139;12
70,131
71,143;23;44
72,102;112;75
73,131;115;109
74,116;115;60
75,57;122;80;138
76,62;27
77,100;109
78,149;86
79,51;54;72;146;101
80,139
81,39;144
82,115;5
83,130;10;13
84,35;45;63
85,104;14;58
86,121;91;136
87,31;44;27
88,84;143
89,87;84;54;101;25
90,107;33;68
91,51;2;76
92,58;52
93,6;82;60;80
94,70;131;57;121
95,66;2;57;101
96,19;31;124;71;111
97,12;46;111;101
98,131;128;101
99,7;19;51;146;89
100,47;84
