round,count
1,3497
2,3592
3,4176
4,4105
5,4992
6,6728
7,10003
8,5118
9,10428
10,6034
11,5015
12,5048
13,2945
14,4054
15,4823
16,6048
17,4324
18,5655
19,4124
20,4592
21,4564
22,2947
23,2303
24,4286
25,3979
26,6237
27,3029
28,5415
29,5796
30,3921
31,3636
32,4025
33,6876
34,3582
35,4172
36,944
37,5358
38,3055
39,3705
40,4966
41,3309
42,3382
43,2552
44,4267
45,1899
46,4906
47,2638
48,2716
49,3721
50,4781
51,3338
52,2652
53,4653
54,5256
55,4396
56,1611
57,2843
58,5424
59,2211
60,2969
61,3410
62,2034
63,2200
64,6151
65,2809
66,6318
67,3261
68,3204
69,4426
70,1652
71,3608
72,2418
73,2381
74,3649
75,4090
76,2823
77,1735
78,3932
79,7529
80,974
81,1487
82,1972
83,3259
84,2720
85,2625
86,2297
87,2751
88,1019
89,4389
90,1680
91,4134
92,1848
93,3823
94,4552
95,3435
96,5211
97,3543
98,2597
99,4617
100,2373
