round,total_tbSize
1,1936418
2,1984748
3,1685489
4,1342848
5,2728635
6,2963850
7,5053463
8,1909871
9,5439916
10,4680307
11,3760056
12,3585707
13,2367266
14,3120633
15,3481258
16,4500279
17,3653008
18,4206665
19,3194648
20,4244866
21,3312667
22,2803308
23,2732809
24,4324008
25,4121456
26,6204846
27,2796153
28,5015533
29,5108831
30,2929664
31,3900938
32,4259476
33,4409310
34,3345265
35,4586138
36,1074240
37,4566138
38,3202990
39,3351900
40,3901744
41,3862763
42,3182507
43,2798715
44,3362811
45,2665286
46,4308664
47,3153139
48,3227815
49,4221925
50,4954786
51,3047341
52,3368922
53,4444928
54,5039086
55,4460967
56,2188605
57,2974524
58,4940717
59,2554578
60,3312056
61,3887269
62,2853913
63,2934572
64,4756043
65,3249706
66,4401888
67,3211360
68,3778127
69,4287745
70,2348324
71,3477729
72,2790569
73,2799270
74,3763509
75,4275579
76,3263503
77,2321966
78,3101459
79,6045392
80,1340279
81,2157800
82,2322091
83,3650556
84,3289938
85,3401512
86,2444805
87,3261227
88,1620646
89,4809918
90,2456934
91,3807480
92,2801494
93,4247068
94,3990960
95,3449660
96,4455735
97,3932545
98,2869156
99,5005306
100,3051104
