round,total_numsym
1,97923
2,66262
3,83754
4,91687
5,77552
6,61858
7,60530
8,98900
9,72321
10,28439
11,52454
12,72758
13,83647
14,78962
15,88408
16,79412
17,58787
18,75750
19,45956
20,80657
21,66199
22,37430
23,70792
24,72404
25,61097
26,83187
27,89096
28,63832
29,76931
30,70142
31,37271
32,68928
33,58055
34,72707
35,51288
36,62963
37,67209
38,53236
39,31074
40,79877
41,76575
42,55795
43,71811
44,103477
45,50769
46,60241
47,53738
48,52415
49,66433
50,63130
51,37290
52,76730
53,78516
54,97915
55,42742
56,58837
57,71010
58,59569
59,41272
60,74557
61,38817
62,60769
63,53752
64,81093
65,62533
66,74124
67,73452
68,57567
69,68592
70,47049
71,57201
72,70345
73,77137
74,28962
75,78255
76,70616
77,68346
78,80040
79,72356
80,72944
81,66643
82,57637
83,26392
84,61248
85,61968
86,60443
87,104840
88,57504
89,78338
90,57687
91,23590
92,49763
93,58380
94,73056
95,61278
96,69118
97,78877
98,31743
99,74707
100,76209
