round,ids
1,44;2;62;149;72;42
2,87
3,131;42;72;143;27
4,87;61;51;26;44;83
5,87;42;33;72
6,51;149;7;134;110
7,116;134;33;71
8,4;130;33;26;131;8
9,10;12;80;62;51
10,141;72
11,26;51;116;2
12,12;134;72;80
13,72;23;62;83;148
14,149;122;134;9;87
15,72;2;68;62;83;51
16,80;44;33;12;149;107
17,26;134;131;81;144
18,26;9;130;83;71
19,33;83;107;61
20,51;148;33;130;44
21,134;141;72;149;9
22,26;71;135;138
23,135;39;27;83;58
24,135;83;23;12;33
25,33;83;131;148;71
26,141;102;10;33;112;51
27,137;116;143;110;62;83
28,141;149;7;42
29,141;9;130;81;68;58
30,112;102;23;97;137
31,81;102;141;47
32,9;130;149;27;33
33,80;71;72;23;68
34,148;144;149;87;62;8
35,71;68;131;87
36,71;148;72;27;8
37,27;71;148;143;149
38,116;137;72;12
39,42;68;27;2
40,80;116;143;44;87;8
41,134;143;44;27;8;135
42,130;27;10;141;81
43,143;130;116;44;8;135
44,81;141;23;50;144;56
45,68;50;116;134;144
46,33;23;134;149;44
47,12;51;130;26;87
48,12;137;135;116;44
49,130;12;148;72;23;107
50,81;148;138;135
51,10;125;134
52,131;134;80;42;12;135
53,134;2;47;33;23;39
54,26;71;51;143;72;8
55,131;148;23;2
56,50;12;10;81;2
57,87;12;130;137;116;135
58,143;116;27;51;144
59,80;51;44;10
60,112;138;12;107;134;14
61,139;146;122;144
62,139;33;146;9
63,148;137;125
64,72;148;33;12;130;71
65,12;33;131;51;135
66,134;68;83;33;2
67,143;137;62;148;44;87
68,26;134;102;81;10
69,33;148;62;42;131
70,26;131;72;44;144
71,72;134;135;23;9
72,149;83;134;62;12;9
73,62;51;72;80;44;8
74,134;9;2
75,23;71;80
76,80;143;84;62;38;135
77,141;149;131;7;42
78,143;134;87;68;144;8
79,12;9;139;80;102;42
80,149;137;141;71;135
81,71;149;12;87;8;39
82,80;141;107;144;135
83,23;130;10
84,112;83;33;143;97
85,33;143;149;137;8
86,102;7;71;72
87,23;81;50;26;137;44
88,81;87;14;71;7
89,12;10;112;33;26;116
90,33;131;2;39
91,83;7;47
92,143;149;131;68
93,131;50;68;144;135
94,7;131;148;62;102
95,107;81;139;10
96,112;14;139;148;131
97,26;107;116;72;68;87
98,62;107;27;134
99,134;77;110;83;81;82
100,141;27;83;26;71;72
