round,ids
1,10
2,113;149;27
3,42;136
4,144;94
5,147;84;18
7,45;116;63
9,26;130;139;110
10,96;10;27;51;148
11,150;27;139
12,128;94;149
13,148;129;44
14,7;98;77;72;85
15,101;87;34;10
16,2;150;101;47
17,46;65
18,80;61
20,131;2
21,77;93
22,118;130;61;87
23,150;124;130;76
24,150;96;141
25,18;70;42;91
26,128;3
27,121;10;139;92
28,134;36;55
29,83;56;7;8;145
30,45
31,81;148;27
32,133;144;61;48
33,150;6;91
34,61;100;81
35,44;143;130;114
36,56;139
37,33;20;89;18
38,7;144;124;12
39,80;8;46;84
40,121;127
41,111;122;101;130
42,44;134;137;139;18
43,131;81
44,124;96;140
45,98;112;48;89
46,72;113;76;42
47,108;137;27
48,144;122;19
49,124;133;114
50,122;144;100;55
51,139;128;112
52,148;5;133
53,128;66;43
54,139;2;66;27
55,147;101;115
56,94;68;43
57,112
58,62;49
59,49;136;68;113
60,8;116;131;96;108
61,63;131;71;115
62,42;34;2
63,61;50
64,44;36;100;8
65,113;100;93;76;62
66,121;5;130;36
67,127
68,122;33;145
69,36;71
70,122;149
71,4;130;68;95;129
72,83;4;19;62
73,125;108;49
74,143;94;116;62
75,80;18;115
76,101;148;21;18
77,87;111;18;19
78,63;76;52
79,42;3;91
80,81;72;18
81,76;145;147
82,36;121;44
83,81;42;19;36
84,36
85,122;150;27;61;46;136
86,124;142
87,116;114;49;140
88,121;140
89,87;7
90,46;93;87;131
91,66;41
92,91;88
93,113
94,63;72;52
95,46;70;64
96,65;100;93;118;134
97,72;8
98,114;70;72
99,150;136;98;108;56;3
100,83;26;80;76;108
