round,count
1,3844
2,6356
3,4638
4,3809
5,5110
6,736
7,4220
8,2339
9,7731
10,6509
11,6400
12,5273
13,5362
14,6442
15,6147
16,5564
17,3062
18,4249
19,3316
20,2379
21,5274
22,8381
23,4894
24,5342
25,5306
26,2476
27,4547
28,3139
29,8173
30,1206
31,4927
32,4760
33,3990
34,3160
35,4187
36,1232
37,4054
38,5263
39,7283
40,2699
41,4449
42,6372
43,2277
44,3573
45,4479
46,5954
47,2325
48,5671
49,3232
50,5132
51,3252
52,3343
53,2517
54,3965
55,4400
56,2569
57,517
58,4477
59,4549
60,6812
61,6116
62,4135
63,1578
64,5012
65,6260
66,3451
67,862
68,4145
69,2764
70,1810
71,5948
72,5252
73,3181
74,4136
75,3457
76,5017
77,6214
78,2446
79,4858
80,2477
81,5404
82,4886
83,5808
84,489
85,9896
86,1840
87,3833
88,2389
89,2063
90,5596
91,1783
92,1312
93,1150
94,3549
95,2795
96,5670
97,3619
98,2956
99,9862
100,8382
