round,total_numsym
1,43193
2,72449
3,53010
4,44208
5,58292
6,8636
7,49521
8,27090
9,86940
10,76530
11,73324
12,60753
13,61912
14,74363
15,71567
16,64492
17,35608
18,48942
19,38294
20,27736
21,60259
22,95780
23,56784
24,60518
25,61221
26,28901
27,52743
28,36676
29,94017
30,13984
31,57420
32,55553
33,46647
34,37183
35,49245
36,14483
37,47272
38,60912
39,82820
40,31415
41,52326
42,74086
43,26585
44,41361
45,51557
46,69161
47,27328
48,64462
49,37570
50,59749
51,37365
52,38938
53,29402
54,46541
55,50165
56,29882
57,6078
58,51814
59,53260
60,79701
61,69748
62,48176
63,18515
64,58247
65,72865
66,40202
67,10117
68,47909
69,32103
70,21171
71,68362
72,60542
73,36339
74,48225
75,40129
76,57210
77,70532
78,28450
79,54964
80,28591
81,60250
82,56875
83,66067
84,5759
85,115652
86,20942
87,44994
88,27826
89,23614
90,65682
91,20737
92,15382
93,13355
94,41335
95,32583
96,66122
97,41958
98,34762
99,115476
100,96585
