round,ndi0_count,ndi1_count
1,496,3348
2,313,6043
3,397,4241
4,345,3464
5,541,4569
6,127,609
7,139,4081
8,335,2004
9,592,7139
10,0,6509
11,546,5854
12,286,4987
13,379,4983
14,231,6211
15,244,5903
16,256,5308
17,295,2767
18,350,3899
19,442,2874
20,134,2245
21,518,4756
22,392,7989
23,73,4821
24,511,4831
25,290,5016
26,133,2343
27,259,4288
28,204,2935
29,359,7814
30,148,1058
31,225,4702
32,223,4537
33,125,3865
34,1,3159
35,1,4186
36,17,1215
37,212,3842
38,180,5083
39,635,6648
40,222,2477
41,0,4449
42,70,6302
43,188,2089
44,182,3391
45,398,4081
46,169,5785
47,97,2228
48,579,5092
49,193,3039
50,266,4866
51,234,3018
52,136,3207
53,326,2191
54,25,3940
55,330,4070
56,187,2382
57,50,467
58,381,4096
59,95,4454
60,103,6709
61,527,5589
62,271,3864
63,50,1528
64,205,4807
65,148,6112
66,80,3371
67,117,745
68,261,3884
69,199,2565
70,125,1685
71,364,5584
72,375,4877
73,169,3012
74,116,4020
75,312,3145
76,324,4693
77,381,5833
78,163,2283
79,409,4449
80,140,2337
81,660,4744
82,365,4521
83,391,5417
84,0,489
85,60,9836
86,225,1615
87,200,3633
88,248,2141
89,215,1848
90,156,5440
91,170,1613
92,154,1158
93,113,1037
94,245,3304
95,83,2712
96,109,5561
97,176,3443
98,0,2956
99,69,9793
100,258,8124
