round,ndi0_count,ndi1_count
1,396,4501
2,372,5926
3,404,3690
4,290,7814
5,285,5472
6,386,7313
7,200,8965
8,244,6763
9,160,5126
10,563,5183
11,88,7601
12,231,5192
13,348,3936
14,501,3940
15,104,5660
16,362,4623
17,204,6178
18,398,6006
19,288,5422
20,226,2762
21,423,5174
22,321,4794
23,205,3620
24,339,4822
25,599,6303
26,235,9480
27,99,4194
28,214,4461
29,621,5143
30,15,3109
31,95,3907
32,72,4661
33,438,3150
34,162,4505
35,206,3790
36,383,4033
37,317,2949
38,201,4807
39,145,5108
40,124,5232
41,66,2802
42,457,6226
43,341,2638
44,208,4954
45,249,4334
46,17,4300
47,288,2813
48,2,4997
49,303,3342
50,122,3644
51,327,5216
52,183,5803
53,107,2808
54,202,4946
55,71,2988
56,363,6122
57,251,3306
58,233,3651
59,136,2355
60,329,6362
61,61,5292
62,354,3474
63,130,5483
64,444,4642
65,76,4221
66,40,4228
67,472,3247
68,224,2004
69,501,5010
70,36,2280
71,167,5538
72,126,3055
73,373,4679
74,121,4898
75,340,3682
76,4,2749
77,182,1872
78,126,3946
79,275,3340
80,133,5384
81,57,4147
82,176,3002
83,35,1758
84,69,2194
85,48,4419
86,248,3836
87,83,3686
88,359,4042
89,104,5547
90,1,3003
91,185,3412
92,115,5635
93,303,5467
94,227,3686
95,190,2782
96,202,4286
97,98,4092
98,140,6277
99,185,5188
100,268,3797
