round,total_tbSize
1,2647538
2,4005621
3,2083575
4,4158966
5,3296766
6,5512084
7,5052026
8,5873625
9,4594503
10,4038694
11,5305286
12,3654101
13,4330962
14,2939733
15,4620290
16,3476180
17,4428808
18,3514860
19,5402179
20,3522978
21,4712913
22,4482208
23,3965861
24,4282864
25,6135835
26,6223546
27,4037499
28,4283299
29,5122266
30,4062501
31,4560424
32,3911131
33,4832993
34,4049053
35,4060187
36,4282904
37,4303918
38,5569518
39,5348295
40,4639925
41,3473656
42,5158884
43,3326159
44,5523570
45,4539532
46,4206598
47,3550131
48,4117615
49,3796118
50,4979102
51,5543190
52,5223616
53,2822062
54,4838352
55,3668339
56,6119791
57,3507257
58,4581589
59,3069763
60,6001990
61,4771315
62,4297493
63,5484266
64,4974648
65,3397624
66,4507158
67,5028666
68,2545372
69,5092151
70,2985149
71,5350963
72,3760485
73,5387392
74,5249362
75,3742186
76,3275259
77,3029380
78,3770806
79,4400545
80,4612105
81,4746998
82,3823933
83,2878098
84,2934545
85,4764528
86,4796983
87,3936904
88,4544226
89,5819467
90,3208845
91,4035234
92,5806454
93,4999401
94,4413474
95,3639634
96,5011266
97,4297584
98,5271813
99,5213755
100,4352782
