round,avg_ul_mcs
1,27.3649
2,27.7556
3,26.4653
4,27.7178
5,27.4294
6,27.2634
7,27.8899
8,27.8118
9,27.7858
10,27.3228
11,27.8768
12,27.6696
13,27.2731
14,26.4359
15,27.7791
16,27.461
17,27.7093
18,27.513
19,27.7715
20,27.7068
21,27.2178
22,27.5842
23,27.6301
24,27.3226
25,27.6905
26,27.9237
27,27.676
28,27.7955
29,27.1152
30,27.5736
31,27.5682
32,27.7215
33,27.0045
34,27.8172
35,27.3191
36,27.5023
37,27.4155
38,26.9527
39,27.6945
40,27.6981
41,27.4697
42,27.7343
43,27.5713
44,27.6116
45,27.1957
46,27.7389
47,26.2396
48,27.8306
49,27.3627
50,27.7392
51,27.4875
52,27.4208
53,27.307
54,27.6469
55,27.0382
56,27.6746
57,27.4622
58,27.4354
59,27.5347
60,27.7936
61,27.665
62,27.3391
63,27.5991
64,27.2973
65,27.6856
66,27.6954
67,27.3861
68,27.2724
69,27.7915
70,27.5173
71,27.7646
72,27.4345
73,27.7573
74,27.7139
75,26.7429
76,27.6724
77,27.4396
78,27.71
79,27.1975
80,27.7256
81,27.725
82,27.4578
83,27.512
84,27.5351
85,27.7549
86,27.3217
87,27.7121
88,27.581
89,27.7965
90,27.8136
91,27.4223
92,27.7257
93,27.7932
94,27.5832
95,27.3832
96,27.6876
97,27.7196
98,27.7081
99,27.8442
100,27.6091
