round,total_numsym
1,56846
2,73028
3,47650
4,94598
5,67126
6,89421
7,105205
8,81856
9,61778
10,66033
11,89846
12,63460
13,50148
14,51500
15,67527
16,58223
17,74217
18,73810
19,66176
20,34894
21,64765
22,59487
23,44441
24,60088
25,79646
26,113564
27,50349
28,54189
29,66223
30,36673
31,46883
32,55522
33,41885
34,54464
35,46604
36,51331
37,38109
38,58391
39,61275
40,62699
41,33430
42,75738
43,34459
44,60466
45,53189
46,50752
47,36289
48,58749
49,42141
50,44060
51,64407
52,69979
53,34122
54,60343
55,35945
56,74938
57,41289
58,45115
59,28818
60,76900
61,62712
62,44417
63,65585
64,58989
65,50338
66,49975
67,42220
68,25510
69,61049
70,27129
71,66464
72,37216
73,58160
74,58827
75,46569
76,32382
77,23731
78,47343
79,42076
80,64504
81,49238
82,36889
83,21086
84,26432
85,52353
86,47179
87,43876
88,50732
89,66290
90,35344
91,42088
92,67381
93,66096
94,45410
95,34716
96,52348
97,49178
98,74934
99,62807
100,46952
