round,ids
1,121
2,8;7
3,35;109
4,96;144;42;48
5,13;124;19
6,84;19;109;80
7,23;94;83;121;63
8,18;21;68;42
9,6;122;4;50
10,52
11,50;4;136;80;100;101
12,116;71;147
13,94;80
14,52;136
15,110;130;8;17;66
16,7;110
17,21;102;83;141;3
18,76;61;34
19,129;115;61;92
20,125;92;104
21,33;32;123;132
22,107;42;32
23,6;67;19
24,23;96;100
25,7;55;101
26,61;135;41;50;7;58
27,137;6;66;127
28,20;134;93;127
29,121;65;73;2
30,52;13;122;116;86
31,144;139;63;6;73
32,39;21;90;75
33,25;65;95
34,46;7;26;150
35,123;96;150;69
36,81;70;58;93
37,26;55
38,145;42;61;121;81
39,51;134;108;46;101
40,148;31;144;49;123
41,128;35;150;58
42,115;112;130;114
43,27;68;74
44,129;131;140;141;92;101
45,70;32;84
46,150;44;77;147;46
47,149
48,51;136;80;8;94
49,84;55;68
50,147;48;12;148
51,56;115;137;113
52,17;10;49;67;47
53,109;34;35
54,62;127;27;122;8
55,91;124;17;83
56,80;50;8;89;104;120
57,127;46
58,18;148;100;60
59,13;122;108
60,10;90;116;17;30
61,4;72;8;112;13
62,50;96;139
63,128;33;141;149;6;60
64,124;56;40
65,142;51;4;137
66,33;145;96;70
67,67;112;109;140
68,148;16
69,12;136;34;139
70,100;139;40
71,111;8;46;80;39;148
72,31;143;26;140
73,27;110;127;2;93
74,91;112;101;144;67
75,148;88
76,51;145;21;121
77,52;125
78,6;129;12;115
79,26;7;65
80,52;139;125;115;16
81,122;136;49;19;65
82,69;10;44;74
83,137;62;117
84,91;96;5
85,94;121;91;41;75
86,130;63;18;44
87,67;80;113;6
88,139;112;127
89,4;121;112;7;100;110
90,48;124;21;129
91,41;63;74
92,41;33;46;7;66;26
93,6;96;34;92
94,42;8;51
95,73;62;113
96,6;137;101;5
97,102;16;145;72
98,51;93;96;17;32;5
99,91;49;113;72
100,131;6;68
