round,start_sim,end_sim,duration_sim,start_wall,end_wall,duration_wall
1,1,6,5,06:24:01,06:31:55,474.204
2,6,11,5,06:31:55,06:39:54,478.877
3,11,16,5,06:39:54,06:47:51,476.221
4,16,21,5,06:47:51,06:55:01,430.581
5,21,26,5,06:55:01,07:02:26,445.346
6,26,31,5,07:02:27,07:10:14,467.443
7,31,36,5,07:10:14,07:17:46,451.874
8,36,41,5,07:17:46,07:25:37,471.521
9,41,46,5,07:25:37,07:33:27,469.441
10,46,51,5,07:33:27,07:40:58,451.504
11,51,56,5,07:40:58,07:48:49,470.605
12,56,61,5,07:48:49,07:56:06,437.591
13,61,66,5,07:56:06,08:03:40,453.062
14,66,71,5,08:03:40,08:11:01,441.247
15,71,76,5,08:11:01,08:18:21,439.749
16,76,81,5,08:18:21,08:25:39,438.904
17,81,86,5,08:25:39,08:32:35,415.34
18,86,91,5,08:32:35,08:39:39,424.527
19,91,96,5,08:39:39,08:47:16,456.706
20,96,101,5,08:47:16,08:54:34,437.474
21,101,106,5,08:54:34,09:01:38,424.404
22,106,111,5,09:01:38,09:09:13,454.96
23,111,116,5,09:09:13,09:16:30,436.999
24,116,121,5,09:16:30,09:23:25,414.85
25,121,126,5,09:23:25,09:30:11,405.869
26,126,131,5,09:30:11,09:37:40,449.089
27,131,136,5,09:37:40,09:45:39,479.38
28,136,141,5,09:45:39,09:53:31,471.81
29,141,146,5,09:53:31,09:59:56,384.687
30,146,151,5,09:59:56,10:07:05,429.594
31,151,156,5,10:07:05,10:15:04,478.788
32,156,161,5,10:15:04,10:22:27,442.757
33,161,166,5,10:22:27,10:30:03,456.098
34,166,171,5,10:30:03,10:37:06,423.179
35,171,176,5,10:37:06,10:44:43,456.936
36,176,181,5,10:44:43,10:51:58,435.486
37,181,186,5,10:51:58,10:58:45,406.544
38,186,191,5,10:58:45,11:05:33,408.096
39,191,196,5,11:05:33,11:13:01,447.466
40,196,201,5,11:13:01,11:19:41,400.031
41,201,206,5,11:19:41,11:26:44,423.427
42,206,211,5,11:26:44,11:34:22,458.195
43,211,216,5,11:34:22,11:41:08,405.884
44,216,221,5,11:41:08,11:47:48,400.293
45,221,226,5,11:47:48,11:55:52,483.887
46,226,231,5,11:55:52,12:03:57,484.692
47,231,236,5,12:03:57,12:10:36,398.687
48,236,241,5,12:10:36,12:17:36,420.58
49,241,246,5,12:17:36,12:24:48,432.174
50,246,251,5,12:24:48,12:32:31,462.54
51,251,256,5,12:32:31,12:39:44,432.983
52,256,261,5,12:39:44,12:46:23,398.844
53,261,266,5,12:46:23,12:53:04,401.08
54,266,270.174,4.17403,12:53:04,12:59:49,405.269
55,270.174,275.174,5,12:59:49,13:06:51,422.007
56,275.174,280.174,5,13:06:51,13:13:38,406.767
57,280.174,285.174,5,13:13:38,13:20:49,430.583
58,285.174,290.174,5,13:20:49,13:27:24,394.984
59,290.174,295.174,5,13:27:24,13:35:26,482.439
60,295.174,300.174,5,13:35:26,13:42:34,427.579
61,300.174,305.174,5,13:42:34,13:50:45,491.674
62,305.174,310.174,5,13:50:45,13:56:44,358.937
63,310.174,315.174,5,13:56:44,14:03:35,410.466
64,315.174,320.174,5,14:03:35,14:09:56,381.614
65,320.174,325.174,5,14:09:56,14:16:34,397.617
66,325.174,330.174,5,14:16:34,14:23:51,437.556
67,330.174,335.174,5,14:23:51,14:31:00,428.804
68,335.174,340.174,5,14:31:00,14:38:12,432.204
69,340.174,345.174,5,14:38:12,14:44:55,402.79
70,345.174,350.174,5,14:44:55,14:51:10,375.206
71,350.174,355.174,5,14:51:10,14:57:02,352.034
72,355.174,360.174,5,14:57:02,15:02:54,351.431
73,360.174,365.174,5,15:02:54,15:09:31,396.86
74,365.174,370.174,5,15:09:31,15:16:20,408.826
75,370.174,375.174,5,15:16:20,15:22:35,374.982
76,375.174,380.174,5,15:22:35,15:30:22,467.431
77,380.174,385.174,5,15:30:22,15:37:31,429.441
78,385.174,390.174,5,15:37:31,15:43:48,376.668
79,390.174,395.174,5,15:43:48,15:51:02,433.73
80,395.174,400.174,5,15:51:02,15:57:20,378.621
81,400.174,405.174,5,15:57:20,16:03:16,355.848
82,405.174,410.174,5,16:03:16,16:10:26,429.652
83,410.174,415.174,5,16:10:26,16:17:03,397.113
84,415.174,420.174,5,16:17:03,16:23:26,382.87
85,420.174,425.174,5,16:23:26,16:29:53,386.753
86,425.174,430.174,5,16:29:53,16:37:45,472.742
87,430.174,435.174,5,16:37:45,16:43:59,373.844
88,435.174,440.174,5,16:43:59,16:50:42,403.207
89,440.174,445.174,5,16:50:42,16:58:36,473.073
90,445.174,450.174,5,16:58:36,17:05:24,408.647
91,450.174,455.174,5,17:05:24,17:11:34,369.537
92,455.174,460.174,5,17:11:34,17:19:15,461.459
93,460.174,465.174,5,17:19:15,17:25:49,393.792
94,465.174,470.174,5,17:25:49,17:32:56,427.136
95,470.174,475.174,5,17:32:56,17:40:33,457.286
96,475.174,480.174,5,17:40:33,17:47:41,427.209
97,480.174,485.174,5,17:47:41,17:55:18,457.046
98,485.174,490.174,5,17:55:18,18:00:51,333.595
99,490.174,495.174,5,18:00:51,18:06:36,344.547
100,495.174,500.174,5,18:06:36,18:14:05,448.898
