round,ids
1,4.20757
2,4.53357
3,3.94857
4,3.72507;3.77757;3.77807;4.62603
5,3.43303;3.88853;4.17357
6,3.80107;3.92707;4.25307;4.42453;4.42607
7,3.36653;3.65657
8,4.54957;4.65057
9,3.15357;4.33303;4.36357;4.44307
10,4.04557;4.23653
11,3.56757;4.04207
12,2.98507;3.65707;3.77807;3.80657
13,3.14207;3.45303;3.74507
14,3.00557;3.67206
15,2.98857;3.62457;4.39357;4.46907
16,3.13656;3.67306;3.78157
17,2.89957;3.22107;4.18957
18,2.91607;3.32307
19,3.60557;4.01407
20,3.05457;3.55657;3.70307;3.84757;4.88557
21,2.97757;3.55706;3.57807
22,3.04807;4.64053
23,3.03207;3.58407;3.88907
24,3.08807;3.15207;4.06057
25,2.52657;2.90757;3.61457;4.63957
26,3.43353;3.61553;3.67107;4.23503
27,4.17807;4.75853
28,3.31107;4.09707;4.10357;4.13653
29,1.97757;2.29207
30,3.12407;3.45307
31,4.12703;4.43457;4.59157
32,3.82157;3.89707;4.42157;4.56256
33,4.11503;4.67457
34,2.62803;3.12757;3.22707;3.42857
35,2.72707;3.03657;3.63657;3.96557
36,3.46557;3.64307
37,2.56057;2.98253;3.13157
38,2.52207;2.95057;3.20303
39,4.01007;4.14657
41,2.44807;2.76207;3.42957;3.43207;3.44453
42,3.04807;3.71207;3.79857;4.36057
43,2.37257;2.73307;2.99457
44,2.79157;2.79403
45,4.59157;4.61507;4.64207;4.77003
46,4.17157;4.53253;4.67707
47,2.23257;2.81203;2.81303;3.99106
48,3.07007;3.23457;3.38257
49,3.43803;3.51607;3.60003;3.64407
50,3.58557;4.48903
51,3.86857;3.94803;4.16707
52,2.19153;2.73107;3.29806
53,2.65257;3.00607;3.85757
54,2.85507;3.49857;3.73357;3.76657;3.95703;4.17403
55,2.68754;3.24404;3.28704
56,2.72404;3.10704;3.13504
57,4.48254
58,2.036;2.49604;2.74804
59,3.4435;4.49004;4.5595;4.57104
60,3.45853;3.62104
61,4.89754
62,1.64804;2.02504
63,3.137;3.1845;3.34153
65,2.713;2.846;4.17954
66,3.58354;3.64204
67,2.58604;3.286;3.3445;3.50404;3.62854
68,2.81154;3.336;3.60854;3.66804;3.98654
69,2.66954;3;3.17904;3.20054
70,2.46803;2.57004;4.1945
71,2.83554
72,1.62604;2.02053
73,2.05754;2.57304;3.76154;4.23004
74,2.79654;3.31004
75,2.12204;3.62754
76,3.46304;4.25204;4.26303;4.3695;4.54404
77,2.59804;3.18554;3.28804;3.35104;3.96504
78,2.39854;2.61554;2.64054
79,2.62203;3.415;3.46204;3.49754;3.58204
80,2.406;3.86754
81,1.60104
82,2.85854;3.20804;3.519
83,2.55104;2.79304;4.36154
84,2.30704;3.42754
85,2.7565;4.43604
86,3.198;3.93754;4.06354;4.66704
87,1.9885;2.25704
88,2.68354;2.82504;3.03703;3.27953
89,3.936;4.22353;4.27204;4.39404;4.76203
90,2.62153;3.135;3.94104
91,1.8935;2.0985;2.50553
92,3.32504;3.90454;3.96004;4.27754
93,2.95254;3.06404;4.54554
94,3.0035;3.44;3.50104;3.83503;4.55403
95,3.8015;3.9235;3.98103;4.39254
96,3.30754;3.78504;4.35804
97,3.015;3.5715;4.086;4.08804;4.52304
98,1.52304
99,1.56054;1.95904
100,2.90954;3.48154;3.56604;4.48054
