round,ndi0_count,ndi1_count
1,257,6451
2,407,4381
3,500,5618
4,259,7034
5,491,5990
6,497,10118
7,532,4884
8,681,6528
9,527,8670
10,656,5284
11,455,5172
12,346,8415
13,406,5659
14,459,3852
15,416,5476
16,498,5670
17,346,4917
18,218,3436
19,786,5306
20,301,7646
21,328,4666
22,644,5454
23,350,4420
24,487,5001
25,332,5049
26,328,6190
27,588,6435
28,546,8450
29,267,2897
30,493,5619
31,480,6988
32,446,7393
33,652,4990
34,272,4669
35,297,6665
36,537,5900
37,337,4278
38,382,4233
39,428,4782
40,399,2663
41,106,6958
42,450,7329
43,218,3748
44,246,3981
45,648,10544
46,403,6446
47,135,4694
48,270,5828
49,267,7229
50,623,7173
51,604,6489
52,343,3949
53,332,4264
54,60,9341
55,191,5379
56,297,5516
57,715,4276
58,232,3976
59,426,9931
60,411,4266
61,544,6357
62,222,2474
63,258,4919
64,436,2141
65,340,4057
66,460,5639
67,97,7866
68,182,8363
69,86,6219
70,301,3664
71,349,1216
72,102,1605
73,316,4626
74,396,5062
75,340,2504
76,400,9937
77,304,7010
78,122,3757
79,12,8574
80,350,2841
81,174,1179
82,400,4156
83,284,4227
84,325,3028
85,498,3136
86,429,9942
87,98,2297
88,143,5819
89,430,10217
90,304,4769
91,57,2461
92,421,7108
93,564,5120
94,234,8324
95,294,8683
96,511,5512
97,356,9353
98,112,701
99,9,1523
100,372,7156
