round,count
1,6708
2,4788
3,6118
4,7293
5,6481
6,10615
7,5416
8,7209
9,9197
10,5940
11,5627
12,8761
13,6065
14,4311
15,5892
16,6168
17,5263
18,3654
19,6092
20,7947
21,4994
22,6098
23,4770
24,5488
25,5381
26,6518
27,7023
28,8996
29,3164
30,6112
31,7468
32,7839
33,5642
34,4941
35,6962
36,6437
37,4615
38,4615
39,5210
40,3062
41,7064
42,7779
43,3966
44,4227
45,11192
46,6849
47,4829
48,6098
49,7496
50,7796
51,7093
52,4292
53,4596
54,9401
55,5570
56,5813
57,4991
58,4208
59,10357
60,4677
61,6901
62,2696
63,5177
64,2577
65,4397
66,6099
67,7963
68,8545
69,6305
70,3965
71,1565
72,1707
73,4942
74,5458
75,2844
76,10337
77,7314
78,3879
79,8586
80,3191
81,1353
82,4556
83,4511
84,3353
85,3634
86,10371
87,2395
88,5962
89,10647
90,5073
91,2518
92,7529
93,5684
94,8558
95,8977
96,6023
97,9709
98,813
99,1532
100,7528
