round,total_numsym
1,76600
2,55075
3,68831
4,85241
5,74955
6,123284
7,62612
8,81581
9,105294
10,68013
11,65073
12,101220
13,69996
14,50035
15,68075
16,71254
17,60775
18,42593
19,70031
20,92276
21,58165
22,69977
23,55249
24,62204
25,62654
26,75490
27,80161
28,102991
29,36925
30,70510
31,85975
32,90198
33,64221
34,57501
35,81300
36,73665
37,53818
38,53558
39,59966
40,35607
41,82958
42,89635
43,46310
44,49533
45,127521
46,78658
47,56756
48,70383
49,86166
50,88443
51,81990
52,49688
53,53444
54,110007
55,64938
56,67297
57,56029
58,49196
59,119112
60,53784
61,78467
62,31501
63,60612
64,29884
65,51104
66,69739
67,92873
68,99136
69,73652
70,45761
71,17897
72,19979
73,57348
74,63322
75,33150
76,120173
77,85103
78,45437
79,100837
80,37058
81,15826
82,53084
83,52078
84,38719
85,41729
86,119590
87,28098
88,69722
89,123303
90,58873
91,29529
92,86919
93,65330
94,98391
95,104193
96,68225
97,112711
98,9545
99,18005
100,87138
