round,total_tbSize
1,2814501
2,1883886
3,2561816
4,4287323
5,3985398
6,5119666
7,3132565
8,3535705
9,4729700
10,2671821
11,3360905
12,5632517
13,3902355
14,2634343
15,4181708
16,3932213
17,4190491
18,2523336
19,4444873
20,4871915
21,2952518
22,3811174
23,3268778
24,3768427
25,4160031
26,3973810
27,3823408
28,4993658
29,2972850
30,3840551
31,4688301
32,4467906
33,3039741
34,3520146
35,5102858
36,4070939
37,3780360
38,3725191
39,2307523
40,1784090
41,4226966
42,4753302
43,3542535
44,2770464
45,4755923
46,3695182
47,3809571
48,3789769
49,4010460
50,4401306
51,4394663
52,3548739
53,3450519
54,5182690
55,3490685
56,3948040
57,3130247
58,3791223
59,6010172
60,2680298
61,3463942
62,3118171
63,2704853
64,1787262
65,3126899
66,3273729
67,4216215
68,4566684
69,3463469
70,2855160
71,1542910
72,1820834
73,3899361
74,4142265
75,2824688
76,4758294
77,5296560
78,2748795
79,4162569
80,2701546
81,1378977
82,3331210
83,3393613
84,2877871
85,3160986
86,5367762
87,2184394
88,4095992
89,5733030
90,3942320
91,2667549
92,4097499
93,4195642
94,4635563
95,4969233
96,3398511
97,5389435
98,1192713
99,1828168
100,4647209
