round,total_ul_rbg
1,64231
2,61344
3,66482
4,44836
5,39099
6,40386
7,37850
8,40320
9,40932
10,39098
11,38354
12,39855
13,38098
14,38257
15,37547
16,38233
17,38580
18,36191
19,40638
20,39370
21,37175
22,39789
23,37384
24,38963
25,37873
26,39275
27,38720
28,39549
29,36941
30,39716
31,39476
32,39773
33,38584
34,37177
35,39203
36,38551
37,37764
38,37599
39,37122
40,37096
41,36834
42,39562
43,36853
44,37260
45,41172
46,38843
47,36716
48,39473
49,39070
50,40647
51,39807
52,38441
53,37964
54,32983
55,37477
56,38432
57,38934
58,37328
59,40339
60,37916
61,39254
62,37517
63,37698
64,36495
65,38639
66,38766
67,38380
68,38319
69,37258
70,37176
71,37169
72,36335
73,38495
74,39392
75,38337
76,40397
77,38825
78,37381
79,38164
80,37440
81,37708
82,38258
83,38696
84,38037
85,38958
86,41438
87,35182
88,37395
89,40296
90,37786
91,36180
92,38915
93,39078
94,39383
95,39047
96,39629
97,40509
98,36125
99,35638
100,39322
