round,ul_tbsize,ul_tbsize_std
1,2597769.7333333334,1115397.262550271
2,3676093.4,1167667.0409421881
3,3367758.8,1265020.848210032
4,3502123.1333333333,1189273.1588420398
5,3873688.8,990688.6198368141
6,4139910.7333333334,1295444.8920507396
7,4706089.866666666,802688.7174459231
8,3587709.3333333335,1256199.9379718674
9,4298179.533333333,1007011.5885766634
10,4209031.266666667,1023517.1992870234
11,3900053.933333333,1111818.1588676828
12,4173725.066666667,1157890.3928116406
13,4417535.133333334,1113329.388400131
14,4474039.533333333,749338.656952236
15,4261720.466666667,1026818.3291367888
16,3935683.066666667,979284.1187223353
17,4303333.0,940086.8580204247
18,3844047.6,723110.1953202668
19,4105922.533333333,891732.9738946412
20,4097573.2666666666,1069269.229698186
21,4255811.4,867960.5287054739
22,4168840.533333333,972849.7657931764
23,4460480.066666666,1154914.4814697918
24,4022732.533333333,948063.68445162
25,4384077.066666666,1366808.1564327406
26,4082807.066666667,1470575.4201145924
27,3832954.6666666665,1348374.177992289
28,4415095.266666667,1176609.9552979353
29,4396265.4,800022.5816419898
30,4293572.333333333,1355533.0464325866
31,4456877.4,851214.0768141366
32,4791736.666666667,854107.6688442293
33,4655143.266666667,1035446.2210775511
34,4004369.0,1080203.8734336218
35,4109755.2666666666,1168768.068630169
36,3854774.3333333335,1223823.9859599129
37,3464580.2666666666,843904.7936414786
38,4272149.933333334,952749.2765474231
39,4174493.3333333335,1106598.3697918376
40,4109640.4,1045280.1598980739
41,4413852.0,1025862.2112242253
42,3942628.8666666667,1053875.4828732898
43,3888955.1333333333,1107330.888678258
44,4026244.4,1428985.288644848
45,3665927.0,1082682.2362208986
46,3471057.066666667,1078090.6635401752
47,4212466.466666667,1331559.9905017887
48,4025140.6,1209301.0471302834
49,4465146.533333333,962970.1220960572
50,4694127.2,621705.0304887589
51,3924744.1333333333,1108874.6874600179
52,3581038.066666667,904459.9555317499
53,3551703.8666666667,1138685.337360205
54,4469570.133333334,777708.9299792111
55,3903104.533333333,1090125.9991301706
56,3908710.4,1369950.5552994448
57,4018875.933333333,973220.6155957846
58,4057624.6666666665,993002.1553437741
59,3785960.933333333,931456.2104010248
60,4170174.8666666667,1242283.3174844887
61,4160589.8,933401.2807167129
62,4292037.733333333,930224.2332065861
63,4125901.6666666665,1500840.2337337893
64,4178459.6666666665,1120306.159194866
65,3932407.8,815806.6601163362
66,4166617.1333333333,842726.8405545914
67,3690069.6666666665,646149.8154091187
68,3962142.533333333,980171.5134893388
69,3696678.3333333335,998267.702396411
70,4140835.066666667,928993.5612283762
71,3801342.933333333,1333819.1825441637
72,3692310.066666667,1178959.858321882
73,3765934.0,1086916.262735806
74,3900167.533333333,1089645.2199980286
75,3716482.2666666666,1394120.5099918456
76,3983403.7333333334,1244767.8621481692
77,3518127.2666666666,764503.6849945261
78,3670712.066666667,926216.5154609574
79,4086529.7333333334,1305280.929947018
80,3913916.3333333335,1139616.952073789
81,3958356.466666667,948350.6049141972
82,4039286.4,1118377.7033834576
83,3484953.2666666666,1007212.1241679549
84,3602752.2,985897.343154028
85,3642420.6666666665,1174533.5690148096
86,3720928.466666667,1186214.2911158812
87,3894452.6666666665,1212397.5971565403
88,3180202.933333333,1112201.7617819083
89,3461839.066666667,1423317.1305567683
90,3657649.6666666665,1054255.1658092663
91,3914413.3333333335,1169797.4767849876
92,3993996.8666666667,1382116.6034088475
93,4044780.8,1174108.4892310663
94,3647453.933333333,931148.0650896557
95,3578571.2,1141477.558179698
96,3827785.3333333335,1074793.1150744227
97,3616865.2666666666,1302455.1556775637
98,4040163.8,903848.6790881852
99,3973473.3333333335,1227843.0290267833
100,4059158.066666667,1132145.7355262216
