round,dest,start_min,start_mean,end_mean,end_max,dur_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes,start_std,end_std,dur_s_std,tx_kbit_s_std,rx_kbit_s_std,throughput_kbit_s_std,mean_delay_ms_std,mean_jitter_ms_std,packet_loss_pct_std,delivery_ratio_pct_std,tx_pkts_std,rx_pkts_std,tx_bytes_std,rx_bytes_std
1,1.0.0.2,1.0,1.0,6.0,6.0,5.0,3620.9201066666665,3479.325333333333,3479.325333333333,18.442776213661553,1.7690244338342795,8.965410508395884,91.03458949160412,4308.0,3921.0,2263075.0,2174578.0,0.0,0.0,0.0,1428.9527045368052,1403.594497029042,1403.594497029042,4.6836393616124745,0.39377281169013223,9.845714172406572,9.845714172406574,694.0,767.0,893095.0,877247.0
1,5.0.0.2,1.0,1.0,6.0,6.0,5.0,147404.26506666667,5736.5568,5736.5568,9.667157383411581,1.6420144064162754,96.10841623502974,3.891583764970265,87574.0,3408.0,92127666.0,3585348.0,0.0,0.0,0.0,92637.18398921652,960.7053678841011,960.7053678841011,2.318924565859294,0.733140098618967,9.946353441852898,9.946353441852898,55036.0,571.0,57898240.0,600441.0
2,1.0.0.2,6.0,6.0,11.0,11.0,5.0,4253.005866666666,4098.705066666666,4098.705066666666,20.8349348444728,1.8355261279629924,15.485932297073218,84.51406770292678,4945.0,4179.0,2658129.0,2561691.0,0.0,0.0,0.0,1484.5510977884012,1527.0756443361984,1527.0756443361984,3.8177046293489463,0.7577700639447486,16.158298224800845,16.158298224800845,581.0,1031.0,927844.0,954422.0
2,5.0.0.2,6.0,6.0,11.0,11.0,5.0,48893.00277333333,5071.635200000001,5071.635200000001,9.005190240934535,1.448850673112237,89.62647602217045,10.373523977829544,29048.0,3013.0,30558127.0,3169772.0,0.0,0.0,0.0,27511.021554868305,853.3238713796371,853.3238713796371,2.237820411276498,0.7414841623499068,12.88802303347786,12.888023033477857,16344.0,507.0,17194388.0,533327.0
3,1.0.0.2,11.0,11.0,15.948246666666668,16.0,4.948242666666667,4019.207573220607,3854.1937312694445,3854.1937312694445,20.054873297392096,1.7941771496541197,10.087456746141829,89.91254325385817,4566.0,4105.0,2486002.0,2383936.0,0.0,0.19621960316611245,0.196226950692547,1734.5621726311595,1780.301953236237,1780.301953236237,4.11496105661142,0.42762434964191026,12.655547378415402,12.655547378415402,628.0,916.0,966211.0,992854.0
3,5.0.0.2,11.0,11.0,15.948246666666668,16.0,4.948242666666667,33906.90362261942,4797.826784027299,4797.826784027299,8.70146384733546,1.3588831440623892,85.84976641998924,14.150233580010768,19936.0,2821.0,20972448.0,2967601.0,0.0,0.19621960316611245,0.196226950692547,25116.065773904676,917.4542428277705,917.4542428277705,1.8828208127793888,0.708571088475169,21.58893472796089,21.588934727960893,13551.0,485.0,14255128.0,509850.0
4,1.0.0.2,15.2391,15.948246666666668,20.948246666666666,21.0,5.0,4474.85056,4318.250666666667,4318.250666666667,20.396224412806138,1.8870176704042492,7.210426163976618,92.78957383602338,4870.0,4519.0,2796782.0,2698907.0,0.19621960316611245,0.19621960316611228,0.0,1529.4336613596686,1536.3707558367594,1536.3707558367594,3.560226207232718,0.6386576315858579,9.622273660620852,9.622273660620852,623.0,811.0,955896.0,960232.0
4,5.0.0.2,15.2391,15.948246666666668,20.948246666666666,21.0,5.0,24584.62368,4531.356053333334,4531.356053333334,8.51152779580011,1.2884530633450548,81.5682211338771,18.4317788661229,14606.0,2692.0,15365390.0,2832098.0,0.19621960316611245,0.19621960316611228,0.0,17057.4040058969,911.755932711843,911.755932711843,1.7951629418184007,0.681829646184462,19.980757417259046,19.980757417259046,10134.0,542.0,10660878.0,569847.0
5,1.0.0.2,20.2391,20.948246666666666,25.948246666666666,26.0,5.0,4459.487253333334,4303.267733333333,4303.267733333333,20.127400274036958,1.8603037730974008,10.146191836332681,89.85380816366732,4738.0,4257.0,2787180.0,2689542.0,0.19621960316611228,0.19621960316611228,0.0,1361.5220896538729,1330.0989705082393,1330.0989705082393,5.126548712294052,0.3203004906066445,7.808921811755458,7.808921811755459,616.0,644.0,850951.0,831312.0
5,5.0.0.2,20.2391,20.948246666666666,25.948246666666666,26.0,5.0,18857.639040000002,4303.640106666667,4303.640106666667,8.345055218887701,1.2019627130341826,77.17789731749697,22.822102682503036,11203.0,2557.0,11786024.0,2689775.0,0.19621960316611228,0.19621960316611228,0.0,12708.18065048323,993.4908568874152,993.4908568874152,1.5594629044910973,0.6492641069914461,18.67187538732892,18.67187538732892,7550.0,590.0,7942613.0,620932.0
