round,ul_numsym,ul_numsym_std
1,62486.2,22228.867226456427
2,70878.53333333334,23542.61108794212
3,68239.33333333333,26634.4572839306
4,73031.8,20643.418194254
5,70863.8,14430.204607994005
6,79533.4,23468.373252406862
7,77892.4,20172.14887200384
8,60023.6,16242.315439264547
9,76106.86666666667,22693.23830340743
10,69784.4,24644.014798729524
11,63205.8,18073.89318958623
12,66077.0,20871.947930860966
13,66713.4,22154.47789564384
14,63794.0,12771.847662507007
15,65422.6,15757.725183903563
16,60113.73333333333,14899.45608531047
17,61308.2,15014.888802214195
18,58007.8,15535.780173522022
19,53862.666666666664,16894.89872994917
20,53976.73333333333,19702.51103455259
21,58486.8,15046.618372815297
22,60883.066666666666,19135.82475906183
23,58312.0,16370.255866749827
24,52197.6,16231.087507795473
25,55588.0,15947.511892813518
26,55592.4,22851.16420541538
27,49197.8,15005.164378592171
28,58423.2,16753.53457035261
29,58758.6,14306.457462079341
30,56239.933333333334,19072.157981378685
31,59009.86666666667,14978.843298211681
32,60089.86666666667,12482.589954851213
33,61051.0,17181.759954756006
34,48836.933333333334,13291.948816948589
35,51176.333333333336,17131.41006066537
36,45056.066666666666,18877.412827680244
37,42924.13333333333,13190.531013174708
38,55931.53333333333,15076.150758573558
39,54000.666666666664,16713.45185628573
40,53766.13333333333,24384.16088033573
41,52317.0,15396.755933823017
42,49025.2,19545.884178370794
43,47741.26666666667,14453.848456709507
44,51002.53333333333,18388.96068245708
45,37854.86666666667,12068.259318599032
46,42885.4,11730.038252282044
47,47803.46666666667,16977.21708166846
48,50899.066666666666,20919.380762709923
49,51920.46666666667,13756.979708323994
50,57123.066666666666,14055.354391358003
51,50883.4,18699.79326394508
52,42759.46666666667,17740.753506572157
53,41316.666666666664,16815.55316054866
54,52723.066666666666,13946.911242620132
55,45614.066666666666,14817.595912903522
56,45797.333333333336,17117.30623277701
57,43599.066666666666,15735.731511738619
58,46704.6,17742.985478371847
59,48524.26666666667,18879.116918915868
60,50657.066666666666,15977.969755110882
61,48866.4,14892.919395279278
62,48212.4,14112.57440724406
63,46587.4,19113.5457419227
64,48917.333333333336,14362.131465701576
65,46084.066666666666,13928.76694094772
66,49773.6,17101.379571752183
67,39793.13333333333,9782.770764875113
68,49327.0,21740.003341437514
69,39662.333333333336,15529.16189287877
70,48401.333333333336,18102.612840876496
71,43027.73333333333,18729.61817727918
72,42307.13333333333,16304.023170750861
73,41196.666666666664,15858.39521094952
74,40710.13333333333,11347.974255136382
75,43711.0,19670.20814400731
76,42672.53333333333,15733.345815572127
77,41614.333333333336,15529.867195029006
78,38747.333333333336,12431.470086993311
79,41918.6,19250.867259870214
80,44476.933333333334,16341.66948748185
81,47805.46666666667,15360.23343789627
82,45703.8,16373.68721978738
83,37160.46666666667,18211.32399229614
84,38574.333333333336,16775.476811050565
85,38219.0,14491.53167493741
86,40722.0,16186.007916892735
87,39858.066666666666,13448.370965960718
88,33983.933333333334,15897.96209072393
89,39768.933333333334,20022.236536506345
90,39311.53333333333,15984.4093276036
91,44578.86666666667,17263.042518077524
92,48153.4,20675.91227837014
93,45154.0,17256.394889183215
94,40083.46666666667,13596.877140761124
95,40368.86666666667,16514.062889664965
96,44156.8,15133.049669986738
97,41102.333333333336,20559.946135514027
98,44294.933333333334,14549.081902633026
99,46539.6,21930.87013061074
100,46702.26666666667,16090.969945312569
