round,start_mean,end_mean,dur_s,start_std,end_std,dur_s_std
1,1.0,6.0,5.0,0.0,0.0,0.0
2,6.0,11.0,5.0,0.0,0.0,0.0
3,11.0,15.948246666666668,4.948242666666667,0.0,0.19621960316611245,0.19622695069254698
4,15.948246666666668,20.948246666666666,5.0,0.19621960316611245,0.19621960316611228,0.0
5,20.948246666666666,25.948246666666666,5.0,0.19621960316611228,0.19621960316611228,0.0
6,25.948246666666666,30.948246666666666,5.0,0.19621960316611228,0.19621960316611228,0.0
7,30.948246666666666,35.94824666666667,5.0,0.19621960316611228,0.19621960316611237,0.0
8,35.94824666666667,40.94824666666667,5.0,0.19621960316611237,0.19621960316611237,0.0
9,40.94824666666667,45.94824666666667,5.0,0.19621960316611237,0.19621960316611237,0.0
10,45.94824666666667,50.94824666666667,5.0,0.19621960316611237,0.19621960316611237,0.0
11,50.94824666666667,55.888353333333335,4.940104666666667,0.19621960316611237,0.2926911899368802,0.2319736285155421
12,55.888353333333335,60.82902,4.940666666666667,0.2926911899368802,0.364871907464994,0.1654620874428712
13,60.82902,65.75905333333334,4.930033333333333,0.364871907464994,0.520738653763871,0.27097973478964565
14,65.75905333333334,70.75905333333334,5.0,0.520738653763871,0.520738653763871,0.0
15,70.75905333333334,75.75905333333334,5.0,0.520738653763871,0.520738653763871,0.0
16,75.75905333333334,80.75905333333334,5.0,0.520738653763871,0.520738653763871,0.0
17,80.75905333333334,85.75905333333334,5.0,0.520738653763871,0.520738653763871,0.0
18,85.75905333333334,90.75905333333334,5.0,0.520738653763871,0.520738653763871,0.0
19,90.75905333333334,95.75905333333334,5.0,0.520738653763871,0.520738653763871,0.0
20,95.75905333333334,100.75908,5.0,0.520738653763871,0.5207025901880754,0.0
21,100.75908,105.75913333333334,5.0,0.5207025901880754,0.520580015349178,0.0
22,105.75913333333334,110.75913333333334,5.0,0.520580015349178,0.520580015349178,0.0
23,110.75913333333334,115.75873333333334,4.999571333333334,0.520580015349178,0.5203839882606818,0.0016602188610742295
24,115.75873333333334,120.75873333333334,5.0,0.5203839882606818,0.5203839882606818,0.0
25,120.75873333333334,125.75673333333334,4.998005333333333,0.5203839882606818,0.5194472978446353,0.007725310781234989
26,125.75673333333334,130.75433333333334,4.997633333333334,0.5194472978446353,0.5227610307187177,0.009166060586024186
27,130.75433333333334,135.75433333333334,5.0,0.5227610307187177,0.5227610307187177,0.0
28,135.75433333333334,140.7138,4.9595,0.5227610307187177,0.6480637314338731,0.1568558255214003
29,140.7138,145.7138,5.0,0.6480637314338731,0.6480637314338731,0.0
30,145.7138,150.61679999999998,4.9029713333333325,0.6480637314338731,0.8948926671474565,0.2922642056395126
31,150.61679999999998,155.61679999999998,5.0,0.8948926671474565,0.8948926671474565,0.0
32,155.61679999999998,160.57386666666667,4.957032666666667,0.8948926671474565,0.8921813450083764,0.1664117664309429
33,160.57386666666667,165.56186666666665,4.9879999999999995,0.8921813450083764,0.9025241482061528,0.04647580015448894
34,165.56186666666665,170.52966666666669,4.967833333333333,0.9025241482061528,1.0156979069069918,0.12458096430300522
35,170.52966666666669,175.52966666666669,5.0,1.0156979069069918,1.0156979069069918,0.0
36,175.52966666666669,180.52966666666669,5.0,1.0156979069069918,1.0156979069069918,0.0
37,180.52966666666669,185.52966666666669,5.0,1.0156979069069918,1.0156979069069918,0.0
38,185.52966666666669,190.51653333333334,4.9868380000000005,1.0156979069069918,1.0104419730753404,0.05097620680278197
39,190.51653333333334,195.49353333333332,4.977000666666667,1.0104419730753404,1.0189791717110603,0.08907603497387315
40,195.49353333333332,200.4396,4.946099333333334,1.0189791717110603,1.068262527926275,0.20875638434947721
41,200.4396,205.4396,5.0,1.068262527926275,1.068262527926275,0.0
42,205.4396,210.4396,5.0,1.068262527926275,1.068262527926275,0.0
43,210.4396,215.4396,5.0,1.068262527926275,1.068262527926275,0.0
44,215.4396,220.37793333333335,4.9383333333333335,1.068262527926275,1.1451333962635497,0.18981482204155362
45,220.37793333333335,225.37793333333335,5.0,1.1451333962635497,1.1451333962635497,0.0
46,225.37793333333335,230.37793333333335,5.0,1.1451333962635497,1.1451333962635497,0.0
47,230.37793333333335,235.2688666666667,4.890938,1.1451333962635497,1.3132278589505362,0.27976574221505907
48,235.2688666666667,240.2688666666667,5.0,1.3132278589505362,1.3132278589505362,0.0
49,240.2688666666667,245.2688666666667,5.0,1.3132278589505362,1.3132278589505362,0.0
50,245.2688666666667,250.21593333333337,4.947038,1.3132278589505362,1.2975611995843077,0.20512094398183728
51,250.21593333333337,255.15420000000003,4.938266666666666,1.2975611995843077,1.2855812026361575,0.23909217190587126
52,255.15420000000003,260.15420000000006,5.0,1.2855812026361575,1.2855812026361553,0.0
53,260.15420000000006,265.15420000000006,5.0,1.2855812026361553,1.2855812026361553,0.0
54,265.15420000000006,270.0468666666667,4.892638,1.2855812026361553,1.2771028522550927,0.4158112380155207
55,270.0468666666667,275.0468666666667,5.0,1.2771028522550927,1.2771028522550927,0.0
56,275.0468666666667,280.0230666666667,4.976164666666667,1.2771028522550927,1.3299183899057547,0.06627887196930711
