round,ndi0,ndi1,ndi0_std,ndi1_std
1,310.26666666666665,5116.8,123.09082980040544,1972.5098659901735
2,341.1333333333333,5792.733333333334,140.06930257486658,2077.08647136411
3,334.6666666666667,5551.533333333334,162.1968234085043,2331.268289600156
4,417.1333333333333,5896.733333333334,151.38072469612442,1808.4439430731868
5,387.53333333333336,5735.466666666666,113.00434041390159,1246.7044481160644
6,386.8666666666667,6471.666666666667,152.38385116290408,2032.5335937011741
7,410.93333333333334,6312.533333333334,164.13690569010922,1779.953725990276
8,384.4,4789.133333333333,165.7893672275586,1378.8556780723575
9,349.8,6222.2,174.40601234721566,1964.8295527675095
10,354.4,5672.4,176.07295565840232,2151.2861867131614
11,402.93333333333334,5055.2,191.2188225443251,1556.7579039235907
12,349.8666666666667,5332.4,171.21034125420388,1794.9689929673675
13,376.06666666666666,5364.266666666666,176.00221860073512,1900.351037747149
14,470.2,5035.6,150.66196789976084,1129.847764713712
15,406.0,5221.0,181.71799187595204,1370.8146691449056
16,398.1333333333333,4773.2,174.26780157753373,1212.307021461855
17,383.8666666666667,4896.8,121.37772604952025,1311.0636467060954
18,309.53333333333336,4678.533333333334,100.8732349228948,1308.2157896849253
19,345.0,4296.466666666666,110.56607591326167,1468.3567037759626
20,356.06666666666666,4285.133333333333,184.66744885514248,1586.7995132461112
21,393.93333333333334,4630.866666666667,131.63882767778264,1273.523731713742
22,340.6,4899.133333333333,133.52517151672726,1627.3449395813268
23,323.46666666666664,4688.866666666667,128.07021883475076,1365.6007504112647
24,414.73333333333335,4085.733333333333,164.05768439644578,1325.6893875946025
25,398.6666666666667,4388.6,150.69110631954868,1273.7577029067522
26,334.93333333333334,4441.133333333333,146.75707170435808,1920.7041441939489
27,327.06666666666666,3895.4666666666667,174.3807274191678,1261.0924893387742
28,318.8666666666667,4705.733333333334,138.1675311593381,1372.7088686590605
29,327.26666666666665,4730.333333333333,174.61895931536458,1215.0222024230472
30,279.8,4544.466666666666,206.2312155948131,1588.806509241929
