round,count
1,6226
2,7711
3,6402
4,7172
5,7723
6,7107
7,7234
8,5321
9,5843
10,7837
11,7958
12,5530
13,5681
14,7866
15,6000
16,5431
17,7573
18,5699
19,5103
20,5455
21,3484
22,7400
23,5757
24,3952
25,7935
26,6965
27,3910
28,6140
29,6321
30,6233
31,7457
32,5476
33,4380
34,5902
35,4101
36,6732
37,6413
38,7464
39,5064
40,7762
41,7099
42,7030
43,5451
44,7926
45,7024
46,5829
47,1369
48,5404
49,5509
50,4799
51,6975
52,5728
53,7769
54,5537
55,6138
56,6471
57,4112
58,4535
59,7908
60,7920
61,5284
62,2388
63,5584
64,3385
65,5243
66,5626
67,3788
68,5185
69,3542
70,5944
71,7416
72,7050
73,5587
74,4104
75,6943
76,4035
77,6682
78,4738
79,7069
80,7691
81,3316
82,4781
83,5211
84,4307
85,2294
86,3263
87,7630
88,5178
89,3591
90,7705
91,7301
92,8163
93,6657
94,5660
95,5799
96,7440
97,4950
98,5448
99,3275
100,4998
