round,total_numsym
1,71323
2,89825
3,74798
4,84248
5,90840
6,82142
7,84365
8,62129
9,67197
10,91725
11,93329
12,64928
13,66816
14,92488
15,69796
16,63520
17,88348
18,66061
19,59850
20,64157
21,40855
22,85160
23,67473
24,46061
25,92771
26,81464
27,45976
28,72195
29,73315
30,72278
31,86240
32,64361
33,51055
34,69366
35,48105
36,78838
37,74932
38,87738
39,59478
40,91223
41,83426
42,82429
43,64097
44,93224
45,82438
46,67985
47,16090
48,62290
49,64794
50,56373
51,81999
52,67135
53,91323
54,64515
55,72155
56,75805
57,48309
58,52559
59,93013
60,93089
61,62085
62,28077
63,65623
64,39776
65,61424
66,66113
67,44502
68,60872
69,41408
70,69666
71,85661
72,82851
73,65727
74,47382
75,81590
76,47473
77,78497
78,55649
79,83113
80,90371
81,38873
82,56025
83,61265
84,49590
85,26975
86,38252
87,89588
88,60898
89,41907
90,90466
91,85833
92,95919
93,78174
94,66546
95,67460
96,87470
97,58158
98,64013
99,38485
100,58797
