round,total_tbSize
1,3929588
2,4446491
3,4859586
4,5269787
5,5098403
6,5358154
7,5262998
8,4575039
9,4130875
10,5614869
11,5260738
12,4616544
13,4063496
14,5111405
15,5193850
16,3703432
17,5700297
18,6256785
19,4792136
20,4088747
21,3679383
22,5496712
23,4342136
24,3892739
25,5088806
26,5178367
27,3303965
28,4125531
29,5556399
30,4372625
31,5737304
32,4198995
33,5247096
34,4267213
35,3546478
36,5564246
37,5347308
38,5086920
39,4645316
40,5085626
41,5395888
42,5568018
43,4091123
44,5162581
45,5567179
46,4242006
47,1804053
48,3892076
49,4131290
50,4366894
51,5157299
52,4487397
53,5089133
54,4504772
55,4792746
56,5679192
57,3341155
58,3802785
59,4953695
60,5128300
61,4194313
62,2449161
63,4137531
64,3412231
65,4755046
66,4092258
67,3311607
68,4785267
69,2783057
70,5704427
71,5762455
72,5255451
73,4265643
74,4043424
75,5025710
76,3297608
77,5143201
78,4322675
79,4979956
80,4949920
81,3129608
82,4785497
83,4222420
84,3825324
85,2421767
86,3930287
87,5019489
88,4249575
89,3746282
90,5168294
91,5197030
92,5070115
93,5466649
94,4065505
95,4556271
96,5344090
97,4225619
98,4073558
99,3929171
100,4220999
