flow_id,src,sport,dst,dport,start,end,active_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,7.0.0.157,49153,5.0.0.2,50000,1.00765,485.652,484.644,1062.25,1062.24,1062.24,14.267,2.7471,0.00163476,99.9984,61171,61170,64351892,64350840
2,7.0.0.156,49153,5.0.0.2,50000,1.01196,11.5216,10.5096,49104.5,1004.19,1004.19,30.2618,4.76899,97.955,2.04501,61320,1254,64508640,1319208
3,7.0.0.154,49153,5.0.0.2,50000,1.01299,485.653,484.64,908.597,908.475,908.475,15.005,2.9418,0.0133787,99.9866,52322,52315,55042744,55035380
4,7.0.0.152,49153,5.0.0.2,50000,1.015,485.653,484.638,888.629,888.542,888.542,13.2476,2.98091,0.00977097,99.9902,51172,51167,53832944,53827684
5,7.0.0.155,49153,5.0.0.2,50000,1.01591,485.653,484.637,977.438,977.421,977.421,14.526,2.83652,0.00177664,99.9982,56286,56285,59212872,59211820
6,7.0.0.73,49153,1.0.0.2,9,1.025,6.00556,4.98056,1176.9,1176.9,1176.9,9.9887,1.24432,0,100,975,975,732704,732704
8,7.0.0.153,49153,5.0.0.2,50000,1.03678,485.639,484.602,852.104,852.104,852.104,14.3178,3.06209,0,100,49065,49065,51616380,51616380
9,7.0.0.135,49153,1.0.0.2,9,1.04,6.00556,4.96556,1180.37,1180.37,1180.37,11.2586,1.21489,0,100,974,974,732652,732652
11,7.0.0.69,49153,1.0.0.2,9,1.073,6.16403,5.09103,1154.91,1154.91,1154.91,15.5051,1.14912,0,100,1033,1033,734960,734960
12,7.0.0.43,49153,1.0.0.2,9,1.089,6.29406,5.20506,1129.79,1129.79,1129.79,13.3558,0.950161,0,100,1036,1036,735080,735080
15,7.0.0.142,49153,1.0.0.2,9,1.159,6.14607,4.98707,117.745,101.357,101.357,8.76128,2.27757,1.52964,98.4704,523,515,73400,63184
16,7.0.0.136,49153,1.0.0.2,9,1.164,6.08261,4.91861,1037.98,981.299,981.299,18.8199,1.32488,2.63447,97.3655,911,887,638176,603328
19,7.0.0.136,49154,1.0.0.2,9,6.005,11.0041,4.99906,1177.61,1172.96,1172.96,19.0815,1.44854,0.203666,99.7963,982,980,735868,732964
20,7.0.0.131,49153,1.0.0.2,9,6.031,11.0041,4.97306,1179.09,1179.09,1179.09,17.4622,1.40769,0,100,980,980,732964,732964
22,7.0.0.34,49153,1.0.0.2,9,6.056,11.0041,4.94806,1185.05,1185.05,1185.05,17.7077,1.40716,0,100,980,980,732964,732964
23,7.0.0.88,49153,1.0.0.2,9,6.07,11.0041,4.93406,1188.41,1188.41,1188.41,17.7523,1.38103,0,100,980,980,732964,732964
27,7.0.0.72,49153,1.0.0.2,9,6.12,11.4151,5.29507,1110.35,1110.35,1110.35,12.4834,1.2611,0,100,1032,1032,734920,734920
28,7.0.0.144,49153,1.0.0.2,9,6.13,11.428,5.29803,1109.73,1109.73,1109.73,12.2139,1.24095,0,100,1032,1032,734920,734920
31,7.0.0.149,49153,1.0.0.2,9,11.016,16.0056,4.98956,1160.44,1160.44,1160.44,9.75992,0.894876,0,100,803,803,723760,723760
33,7.0.0.90,49153,1.0.0.2,9,11.051,15.7786,4.72757,201.426,154.742,154.742,11.3687,2.05357,3.52505,96.475,539,520,119032,91444
34,7.0.0.139,49153,1.0.0.2,9,11.052,12.174,1.12203,117.929,18.9371,18.9371,5.20131,0.822341,83.9623,16.0377,318,51,16540,2656
37,7.0.0.73,49154,1.0.0.2,9,11.13,16.0041,4.87406,1202.79,1202.79,1202.79,16.3573,1.15097,0,100,979,979,732812,732812
39,7.0.0.59,49153,1.0.0.2,9,11.153,16.0041,4.85106,1208.5,1208.5,1208.5,16.356,1.17571,0,100,979,979,732812,732812
41,7.0.0.81,49153,1.0.0.2,9,11.199,16.0041,4.80506,1220.15,1220.15,1220.15,27.9703,1.01926,0,100,980,980,732864,732864
43,7.0.0.84,49153,1.0.0.2,9,16.093,20.488,4.39503,1334.17,1334.17,1334.17,14.4026,1.00252,0,100,980,980,732964,732964
44,7.0.0.43,49154,1.0.0.2,9,16.108,20.488,4.38003,1338.83,1338.83,1338.83,13.0046,1.14716,0,100,981,981,733016,733016
45,7.0.0.66,49153,1.0.0.2,9,16.11,20.488,4.37803,1344.75,1339.44,1339.44,9.09994,1.22203,0.203459,99.7965,983,981,735920,733016
49,7.0.0.88,49154,1.0.0.2,9,16.126,20.4921,4.36606,1342.65,1342.65,1342.65,12.7745,1.29964,0,100,978,978,732760,732760
51,7.0.0.81,49154,1.0.0.2,9,16.16,20.488,4.32803,1354.25,1354.25,1354.25,13.5326,1.19323,0,100,974,974,732652,732652
53,7.0.0.72,49154,1.0.0.2,9,16.172,20.4921,4.32006,1357.14,1357.14,1357.14,12.7269,1.30111,0,100,980,980,732864,732864
55,7.0.0.52,49153,1.0.0.2,9,20.5836,24.8675,4.28396,1368.47,1368.47,1368.47,12.4998,1.45869,0,100,977,977,732808,732808
57,7.0.0.72,49155,1.0.0.2,9,20.5906,24.8675,4.27696,1371,1371,1371,12.6177,1.48829,0,100,980,980,732964,732964
58,7.0.0.5,49153,1.0.0.2,9,20.5926,24.8726,4.28,1367.9,1367.9,1367.9,16.0569,1.43168,0,100,960,960,731824,731824
61,7.0.0.45,49153,1.0.0.2,9,20.6476,24.8675,4.21996,1389.33,1389.33,1389.33,15.6464,1.54342,0,100,980,980,732864,732864
62,7.0.0.88,49155,1.0.0.2,9,20.6566,24.8675,4.21096,1389.43,1389.43,1389.43,11.1871,1.43899,0,100,949,949,731352,731352
