round,total_ul_rbg
1,51357
2,51236
3,40693
4,34530
5,33736
6,39597
7,41015
8,39575
9,39534
10,41731
11,34707
12,39669
13,39110
14,34560
15,40481
16,40146
17,35470
18,43870
19,40353
20,38869
21,39225
22,40175
23,38543
24,38329
25,34059
26,35338
27,38314
28,38119
29,39889
30,37976
31,41573
32,37986
33,41539
34,38910
35,38563
36,40847
37,39862
38,34840
39,39890
40,35014
41,39891
42,40082
43,39015
44,34619
45,39870
46,38459
47,38481
48,40018
49,38687
50,39416
51,34934
52,40107
53,33333
54,40146
55,40409
56,41102
57,38774
58,39360
59,31635
60,35171
61,39392
62,37887
63,38194
64,39481
65,39531
66,37752
67,38095
68,39410
69,40524
70,41296
71,40250
72,35926
73,39353
74,39113
75,32586
76,38279
77,34715
78,38981
79,31512
80,32735
81,39902
82,40804
83,38880
84,40334
85,38053
86,41177
87,33570
88,38555
89,40556
90,34257
91,33989
92,34189
93,37009
94,38209
95,43133
96,33367
97,38612
98,38895
99,40809
100,38195
