round,total_numsym
1,59619
2,77455
3,46380
4,28823
5,72521
6,63578
7,61307
8,86487
9,56830
10,80496
11,47138
12,43150
13,55758
14,65772
15,63193
16,71115
17,68479
18,115580
19,50135
20,74339
21,35882
22,102293
23,105149
24,21921
25,56399
26,81197
27,20905
28,54163
29,49441
30,90545
31,78653
32,39719
33,88573
34,61296
35,53289
36,76102
37,49174
38,43343
39,70927
40,56884
41,39054
42,77953
43,117617
44,58011
45,73713
46,39588
47,76518
48,49938
49,69905
50,78202
51,37372
52,39871
53,21954
54,72574
55,56099
56,93535
57,42656
58,41898
59,24293
60,64448
61,120698
62,52880
63,15681
64,55519
65,54994
66,97658
67,39109
68,28316
69,31927
70,109415
71,66295
72,61240
73,64952
74,45958
75,35195
76,36928
77,45926
78,72709
79,14356
80,55089
81,45748
82,34696
83,62666
84,39205
85,50755
86,80322
87,55953
88,18659
89,15615
90,43674
91,102066
92,54311
93,62356
94,69951
95,34010
96,23018
97,11990
98,34008
99,53799
100,74567
