round,count
1,5183
2,6805
3,4086
4,2490
5,6329
6,5612
7,5336
8,7561
9,4954
10,7224
11,4133
12,3706
13,4810
14,5717
15,5468
16,6223
17,5891
18,10178
19,4354
20,6464
21,3127
22,9080
23,9151
24,1881
25,4843
26,7240
27,1803
28,4659
29,4329
30,7846
31,6879
32,3419
33,7698
34,5377
35,4624
36,6579
37,4240
38,3758
39,6199
40,4947
41,3364
42,6798
43,10200
44,5028
45,6377
46,3407
47,6655
48,4289
49,6068
50,6895
51,3181
52,3434
53,1875
54,6290
55,4944
56,8208
57,3681
58,3670
59,2073
60,5575
61,10431
62,4528
63,1354
64,4795
65,4844
66,8379
67,3389
68,2428
69,2753
70,9604
71,5764
72,5269
73,5614
74,3921
75,3060
76,3169
77,3978
78,6320
79,1229
80,4777
81,3938
82,3021
83,5453
84,3356
85,4394
86,7012
87,4885
88,1587
89,1338
90,3717
91,8898
92,4662
93,5369
94,6000
95,2930
96,1973
97,1021
98,2908
99,4604
100,6450
