round,ids
1,81;20
2,110
3,3
4,4
5,65;45;124
6,44;137
7,118;54
8,111;65;144
9,112
10,83;110
11,68
12,41;122
13,87;98;97
14,130;20;72
15,56;43;128
16,66;92
17,91;147;99;12
18,50;61;6
19,3;33
20,118;111
22,81;124;42
23,143;45;54;46;122
24,135
25,44;72;101;48
26,42;148
27,135
28,83;12;112;27
29,147;5
30,139;125;130;133
31,39;137;54
32,5;111
33,3;91;125;61;43
34,131;10
35,10;7
36,3;50;148
37,27
38,87;72
39,110;72;92
40,144;149
41,143;71
42,39;92;130
43,87;44;70;128
44,60;112;12
45,148;124;129
46,50
47,144;118;129
48,50;5
49,81;46;147
50,3;7;92;4
51,120;61;70
52,112;65
53,5
54,83;111;117;72
55,52
56,42;33;46;54
57,3;122
58,66
59,43;61
60,45;149
61,116;20;45;143;6
62,133;131;39;121
63,116
64,20;52
65,42
66,39;124;129;96;99
67,137;125
68,128;41
69,129;54
70,46;1;10;87
71,3;61;41
72,110;6;44;147
73,131;47;118;130
74,72;20;110
75,48
76,96;10;80
77,56;60
78,56;139
79,112
80,110;98
81,138;1;72
82,87
83,139;10;49
84,112;92;98
85,1;137
86,138;143;99;101
87,118
88,7;81
89,9
90,137;143;124
91,131;46;87;68
92,128;116;83
93,143;33;111
94,60;147;20;33
95,71
96,46
98,87;98;116
99,56;50;138
100,7;112;39
