round,sched_cfg_cnt_mean,sched_cfg_cnt_std
1,5220.0,1911.133433332168
2,5140.266666666666,2166.752028355103
3,5223.0,2144.28619491762
4,5059.0,1476.486805127051
5,5233.0,1782.4686733372262
6,5340.066666666667,1947.126031091049
7,5173.0,1306.0832942154077
8,4617.2,1485.059508187178
9,5281.066666666667,1516.2600354946032
10,5910.866666666667,1608.859838815172
11,4770.6,1767.6088691465977
12,5436.866666666667,1546.5127530150196
13,4885.133333333333,1866.7028559417142
14,4854.866666666667,1774.7334152593442
15,4670.333333333333,1859.6468046635196
16,4776.133333333333,1441.2168899265384
17,4845.6,1755.1315294627598
18,4236.733333333334,1152.3961041900398
19,4724.2,1813.571385809936
20,4603.066666666667,1553.5710690749447
21,4502.4,1680.3746521024923
22,4661.066666666667,1646.9010494461004
23,4589.333333333333,1511.5722971541286
24,4198.333333333333,1312.3685058847211
25,4384.133333333333,1773.6151888431823
26,4041.0,1459.359105909166
27,4169.266666666666,1507.9466391973776
28,4541.466666666666,1581.512335287546
29,4086.733333333333,1578.3754969980398
30,4817.266666666666,2205.2427293243923
31,4856.266666666666,1648.120421513405
32,4391.866666666667,1742.9281546813547
33,4388.8,1860.5738438910264
34,4067.0,1501.8791086977865
35,4697.866666666667,1706.6932466308167
36,3680.0,1207.158174036384
37,3783.5333333333333,805.6408156303427
38,4638.4,1709.3813751513399
39,4743.066666666667,1864.1332136130288
40,3984.4,1866.7631191067449
41,4528.733333333334,1488.9431278914712
42,4410.666666666667,1664.2774780094585
43,4418.4,2613.776736557931
44,4077.5333333333333,1719.328559420245
45,3800.0,1271.7998494821647
46,3927.6,1311.380995090944
47,4353.666666666667,1847.9562327325932
48,4795.6,1681.4235380432006
49,3868.266666666667,1578.8771085203318
50,3988.9333333333334,1430.7750380558816
51,3858.8,1955.2859929651506
52,4349.133333333333,1448.6805260880215
53,3562.4666666666667,1098.0964611978486
54,4789.333333333333,1515.0283668568559
55,4233.733333333334,907.1242997726911
56,4060.0666666666666,1627.2396200167882
57,3786.2,1532.1961922118755
58,4167.066666666667,1678.6987080417236
59,4555.933333333333,1980.783736182173
60,3759.866666666667,1576.9302850188158
61,4395.6,1476.678889554917
62,3814.4666666666667,1215.900364025809
63,3806.9333333333334,1630.6483139566067
64,3901.6,1747.0584584217145
65,4623.466666666666,1637.958566834542
66,4000.9333333333334,1621.411134372361
67,3342.0666666666666,1528.064530549613
68,3990.5333333333333,1699.3001024231235
69,4057.6,1696.5453469582574
70,4002.4,2235.993061578808
71,3606.3333333333335,1313.6930314774381
72,3402.0666666666666,1526.5686764143707
73,4109.266666666666,2180.5792633631836
74,3560.133333333333,1666.1221815369736
75,3966.6,2191.082928599463
76,3554.266666666667,1386.2397992239225
77,3428.6666666666665,1300.357514942205
78,3632.0666666666666,1693.4432154074502
79,3531.4666666666667,2332.7303397725245
80,3107.133333333333,1398.9380087698498
81,3412.4666666666667,1700.4744660017125
82,3569.8,1873.2622880952897
83,3395.266666666667,1428.7152303814116
84,3487.2,1422.2030295083953
85,3815.3333333333335,1743.5124919322516
86,3671.6666666666665,1433.385087659213
87,3485.5333333333333,941.4888563688189
88,3444.6,2130.047880078889
89,3960.4,1816.2657845150309
90,3920.8,1331.005645582102
91,4022.4,2135.5760614611027
92,4539.8,1516.8882716177313
93,3615.0666666666666,1305.4396340295625
94,4568.466666666666,2043.177317899979
95,3483.3333333333335,1590.3124430962198
96,4310.4,1320.970357621353
97,3569.5333333333333,1585.3657021406163
98,3527.5333333333333,1481.6216437532544
99,4134.066666666667,1549.7975658898472
100,3877.4,1344.042399416243
