round,success_mean,success_std
1,2.8666666666666667,0.990430401872025
2,2.6,1.4040757000349275
3,2.933333333333333,1.579632265825846
4,3.066666666666667,1.2227992865708155
5,3.0,0.8451542547285166
6,3.1333333333333333,1.3557637102737474
7,3.533333333333333,1.1872336794093274
8,3.2,1.2649110640673518
9,3.1333333333333333,1.4074631010979937
10,3.2666666666666666,1.2798809468443688
11,3.1333333333333333,1.4573295865416045
12,3.4,1.3522468075656267
13,3.3333333333333335,0.9759000729485332
14,2.8,1.1464230084422218
15,3.1333333333333333,1.3557637102737474
16,3.1333333333333333,0.8338093878327919
17,3.4,1.1212238211627763
18,3.4,1.0555973258234952
19,3.1333333333333333,1.3557637102737474
20,3.1333333333333333,0.9154754164341269
21,3.2666666666666666,1.162919151265879
22,3.1333333333333333,1.245945806357946
23,3.4,0.9856107606091623
24,3.0,1.1338934190276817
25,3.066666666666667,1.2798809468443688
26,3.1333333333333333,1.245945806357946
27,3.1333333333333333,1.3020130933435712
28,3.6,1.0555973258234952
29,3.3333333333333335,0.9759000729485332
30,3.7333333333333334,1.533747356112131
31,3.6666666666666665,0.816496580927726
32,3.533333333333333,1.302013093343571
33,3.2666666666666666,1.334523278535216
34,3.1333333333333333,1.0600988273786194
35,3.6,1.2421180068162376
36,3.0,0.8451542547285166
37,2.8666666666666667,0.8338093878327919
38,3.8666666666666667,1.3020130933435712
39,3.466666666666667,0.915475416434127
40,2.933333333333333,1.4864467059144129
41,3.7333333333333334,0.961150104723255
42,3.7333333333333334,0.8837151016885368
43,3.6666666666666665,1.2344267996967353
44,2.933333333333333,1.162919151265879
45,3.3333333333333335,0.4879500364742666
46,2.933333333333333,1.1629191512658792
47,3.533333333333333,1.4573295865416045
48,3.7333333333333334,1.162919151265879
49,3.466666666666667,0.915475416434127
50,3.7333333333333334,1.0997835284835875
51,3.4,1.2421180068162376
52,3.466666666666667,1.0600988273786194
53,2.933333333333333,1.0327955589886444
54,3.8666666666666667,0.9904304018720249
55,3.6666666666666665,0.723746864455746
56,3.3333333333333335,1.1126972805283735
57,3.2,1.2071217242444348
58,3.7333333333333334,1.4864467059144129
59,3.8666666666666667,1.2459458063579458
60,3.4,1.121223821162776
61,3.8666666666666667,0.9154754164341268
62,3.4,0.7367883976130073
63,3.533333333333333,1.5976172734359606
64,3.2666666666666666,1.2227992865708155
65,3.8666666666666667,1.302013093343571
66,3.533333333333333,1.3020130933435712
67,3.0,1.4142135623730951
68,3.6666666666666665,1.5430334996209192
69,3.466666666666667,1.0600988273786194
70,3.466666666666667,1.4573295865416043
71,3.2666666666666666,1.2798809468443688
72,3.066666666666667,1.0327955589886444
73,3.6666666666666665,1.2909944487358056
74,3.3333333333333335,1.2344267996967353
75,3.2666666666666666,1.7915143899851345
76,3.4,1.121223821162776
77,3.2,1.3201731488169055
78,3.066666666666667,1.0327955589886444
79,3.066666666666667,1.0997835284835873
80,2.8666666666666667,1.1254628677422753
81,3.2666666666666666,1.0327955589886446
82,2.933333333333333,1.3345232785352157
83,3.1333333333333333,0.9154754164341268
84,3.3333333333333335,1.1751393027860064
85,3.533333333333333,1.4573295865416043
86,3.3333333333333335,1.1126972805283737
87,2.933333333333333,0.8837151016885368
88,3.066666666666667,1.3870146083619754
89,3.4,1.4040757000349275
90,3.6666666666666665,1.1126972805283735
91,3.6666666666666665,1.5430334996209194
92,3.933333333333333,1.2798809468443688
93,3.6666666666666665,1.0465362369445672
94,3.8,1.082325538564332
95,3.2666666666666666,1.2798809468443688
96,3.8666666666666667,0.7432233529572067
97,3.3333333333333335,1.234426799696735
98,3.466666666666667,1.3557637102737474
99,3.7333333333333334,1.2227992865708155
100,3.466666666666667,1.3020130933435712
