round,start_mean,end_mean,dur_s,start_std,end_std,dur_s_std
1,1.0,5.781696,4.781696,0.0,0.26680511383512007,0.26680511383512007
2,5.781696,10.56232,4.780613333333334,0.26680511383512007,0.38324927823993166,0.3742484148771979
3,10.56232,15.249046666666667,4.686711333333333,0.38324927823993166,0.7327921717324639,0.4307989428602673
4,15.249046666666667,19.817773333333335,4.568736000000001,0.7327921717324639,0.7873931850159256,0.39274201799290953
5,19.817773333333335,24.552973333333338,4.7352006666666675,0.7873931850159256,0.962954258271809,0.4745939744736195
6,24.552973333333338,29.313440000000003,4.760466666666667,0.962954258271809,1.2741884407619732,0.43096695542311203
7,29.313440000000003,34.16487333333334,4.851432666666667,1.2741884407619732,1.3919356068165691,0.2516955664649166
8,34.16487333333334,39.018679999999996,4.853802666666667,1.3919356068165691,1.4396507384977588,0.3542580775864371
9,39.018679999999996,43.57392,4.555236,1.4396507384977588,1.745164443418279,0.548502986016094
10,43.57392,48.43839333333333,4.864469333333333,1.745164443418279,1.9130440415610885,0.36258345418610016
11,48.43839333333333,52.920413333333336,4.482028,1.9130440415610885,2.2189898370547767,0.6152329548019073
12,52.920413333333336,57.72834666666667,4.807935333333334,2.2189898370547767,2.321859032224784,0.39932996543972904
13,57.72834666666667,62.43711333333335,4.708765999999999,2.321859032224784,2.3846152471525426,0.4953813120905668
14,62.43711333333335,67.05876,4.6216593333333345,2.3846152471525426,2.7067412639028285,0.5668655436000255
15,67.05876,71.78311333333333,4.724362,2.7067412639028285,2.8552045007736484,0.4739969994510213
16,71.78311333333333,76.6889,4.905773333333333,2.8552045007736484,2.888255197470316,0.2335098273755356
17,76.6889,81.43972000000001,4.750806666666667,2.888255197470316,3.0412004291538755,0.445407607281027
18,81.43972000000001,86.01402,4.574300666666668,3.0412004291538755,3.1030641932497267,0.5166182396324701
19,86.01402,90.56940666666667,4.555394666666667,3.1030641932497267,3.2777822056704027,0.6380956850982088
20,90.56940666666667,95.25765333333334,4.6882399999999995,3.2777822056704027,3.543863421236908,0.5325489715509738
21,95.25765333333334,99.94944,4.691702666666667,3.543863421236908,3.8808423630517557,0.5210849907023211
22,99.94944,104.82421333333332,4.8746979999999995,3.8808423630517557,3.829979521927101,0.30795171384488185
23,104.82421333333332,109.59813333333334,4.7739666666666665,3.829979521927101,3.815065396680951,0.3804032384319616
24,109.59813333333334,114.46866666666666,4.870500000000001,3.815065396680951,4.0746527576270966,0.35156441189956306
25,114.46866666666666,118.97053333333334,4.501762,4.0746527576270966,4.235095611446717,0.5350570165105237
26,118.97053333333334,123.79053333333333,4.819966666666667,4.235095611446717,4.351626508176761,0.3832946569391429
27,123.79053333333333,128.53293333333332,4.742362,4.351626508176761,4.427384740238333,0.5274275391558542
28,128.53293333333332,133.3696,4.836669333333333,4.427384740238333,4.474128563195294,0.43408370501990695
29,133.3696,138.04273333333333,4.673168666666667,4.474128563195294,4.622086796283788,0.5605787598655348
30,138.04273333333333,142.81913333333333,4.776398,4.622086796283788,4.441186888766601,0.47735113048392974
31,142.81913333333333,147.39619999999996,4.577061333333334,4.441186888766601,4.631707448200314,0.5936548640638486
32,147.39619999999996,152.13486666666665,4.738705333333333,4.631707448200314,4.856176801127561,0.4693471279168645
33,152.13486666666665,156.8518666666667,4.717069333333334,4.856176801127561,4.696298418765062,0.5679209722118873
34,156.8518666666667,161.52766666666668,4.675790000000001,4.696298418765062,4.738696606009874,0.5144258015496501
35,161.52766666666668,166.13053333333335,4.602836666666667,4.738696606009874,4.901680526202456,0.5788399762785007
36,166.13053333333335,170.89446666666666,4.763904666666667,4.901680526202456,4.880645344721575,0.42126009408621157
37,170.89446666666666,175.7514,4.856969333333334,4.880645344721575,5.103893720904238,0.4312384986038413
38,175.7514,180.4656,4.714231333333333,5.103893720904238,5.164266644106265,0.5409391461796086
39,180.4656,185.2528,4.787166666666667,5.164266644106265,5.412487482004662,0.5624638930210375
40,185.2528,189.95573333333334,4.702930666666666,5.412487482004662,5.584416512130196,0.515116271860284
41,189.95573333333334,194.7906,4.834933333333334,5.584416512130196,5.630572855910337,0.3268428994981855
42,194.7906,199.59526666666667,4.804635333333334,5.630572855910337,5.93499018493191,0.48188298491982273
43,199.59526666666667,204.3486,4.753336,5.93499018493191,6.009762650411886,0.4990467790956217
44,204.3486,208.91766666666666,4.568995333333333,6.009762650411886,6.2859186016577295,0.5314304209377698
45,208.91766666666666,213.66053333333332,4.742966,6.2859186016577295,6.513431220690573,0.5336775528055975
46,213.66053333333332,218.22626666666665,4.565734666666667,6.513431220690573,6.797577146797727,0.6580633251645822
47,218.22626666666665,222.956,4.729699999999999,6.797577146797727,6.855330251500865,0.5653415465766816
48,222.956,227.66733333333332,4.711266,6.855330251500865,6.939046380207202,0.48109067983667514
49,227.66733333333332,232.5724,4.905063999999999,6.939046380207202,6.993717515435856,0.2754666249112585
50,232.5724,237.12413333333333,4.5517693333333344,6.993717515435856,7.479477558785837,0.6718103842546505
51,237.12413333333333,242.0530666666667,4.928969333333333,7.479477558785837,7.493762429673158,0.18945438152255867
52,242.0530666666667,246.63400000000004,4.580836666666667,7.493762429673158,7.353290866777168,0.6289812286509336
53,246.63400000000004,251.4947333333334,4.8607000000000005,7.353290866777168,7.258635049439552,0.24851773434850535
54,251.4947333333334,256.18993333333333,4.695296,7.258635049439552,7.491181534374422,0.5249388711051439
55,256.18993333333333,260.8737333333333,4.683833333333334,7.491181534374422,7.6204116730440905,0.5503761061527014
56,260.8737333333333,265.72886666666665,4.855102,7.6204116730440905,7.553691348006771,0.3775705794796138
57,265.72886666666665,270.50200000000007,4.773131333333334,7.553691348006771,7.839502662796918,0.5442887089832626
58,270.50200000000007,275.1698,4.6677973333333345,7.839502662796918,7.941956085067627,0.522220045676788
59,275.1698,279.9802,4.810466666666668,7.941956085067627,7.990796243178766,0.43574264563364645
60,279.9802,284.6467333333334,4.666439333333333,7.990796243178766,8.300841587855215,0.5366034556550604
61,284.6467333333334,289.1091333333334,4.462434,8.300841587855215,8.433034988888018,0.6971597596759501
62,289.1091333333334,293.9208666666667,4.811772,8.433034988888018,8.410475932402628,0.4070453461435751
63,293.9208666666667,298.7361333333334,4.815264,8.410475932402628,8.42067507360533,0.4915872147703948
64,298.7361333333334,303.2982666666667,4.5621279999999995,8.42067507360533,8.577963823214745,0.5872205279012064
65,303.2982666666667,308.12219999999996,4.823897333333334,8.577963823214745,8.82049153311278,0.38815224309663904
66,308.12219999999996,312.74046666666675,4.618371999999999,8.82049153311278,8.864815620245707,0.5501454585211338
