round,ul_numsym,ul_numsym_std
1,82966.13333333333,12488.380169848557
2,75971.8,19496.6328418891
3,76661.86666666667,13095.623052142633
4,79841.0,12907.200725619346
5,77310.0,16774.530727947567
6,74319.6,15834.862536279157
7,70304.53333333334,18709.342257151588
8,67804.73333333334,17177.9180988129
9,74230.4,14914.350964279816
10,64302.2,22121.037737863928
11,77739.2,13996.400946569902
12,71738.06666666667,13682.245390425123
13,69818.46666666666,13844.705996293656
14,72382.2,16314.16036191522
15,67056.06666666667,19135.7714296948
16,57010.2,18125.58875181714
17,68840.13333333333,16116.872072754186
18,73050.13333333333,12460.909161205274
19,70018.8,17268.466902751632
20,71935.8,14878.090388218508
21,62245.8,17819.04326516197
22,67555.13333333333,12508.749833997153
23,73711.66666666667,15722.264243816186
24,62801.8,14569.539350498157
25,75199.53333333334,12335.030747930097
26,62802.26666666667,17730.564814412857
27,69211.93333333333,16512.101655048842
28,65473.666666666664,13622.33738422022
29,65886.8,18414.531122381122
30,69624.2,18702.68932227968
31,69293.4,17708.403452275743
32,65050.0,18945.041658137663
33,62078.066666666666,16348.363406367826
34,73915.46666666666,17815.040631310334
35,68648.6,17548.66016375202
36,68592.53333333334,13979.426285318961
37,59026.333333333336,14143.741239081519
38,69066.06666666667,15874.54133630623
39,60608.8,18854.45081292857
40,60185.73333333333,23740.702220528558
41,64456.13333333333,16573.048636983163
42,62494.933333333334,23503.352561668627
43,68701.8,15728.420187673013
44,75217.66666666667,14151.513925405734
45,67392.2,19365.754753466972
46,67059.4,14520.587285447022
47,47796.53333333333,20210.948355025892
48,66172.66666666667,11454.467604181265
49,64185.0,12114.168564123582
50,62756.26666666667,19376.2467745089
51,52387.53333333333,14877.449415938525
52,62059.0,18877.551729122988
53,64266.666666666664,15634.844056359074
54,67349.6,17394.990115383385
55,61788.666666666664,19394.838627350124
56,60736.666666666664,10803.333392104141
57,62730.8,13183.222883650264
58,66593.13333333333,13702.641402646565
59,55274.86666666667,20257.736415879193
60,63964.6,17409.630051866614
61,68939.26666666666,15785.343421155256
62,54024.8,20599.37746701515
63,56981.13333333333,18541.98564596678
64,69462.13333333333,16983.254878457978
65,55507.066666666666,16851.44822291318
66,65683.0,20833.130009674493
67,65316.46666666667,12954.189542199778
68,59168.53333333333,17624.44317607415
69,71247.26666666666,16078.168510066538
70,62352.13333333333,19345.258348039217
71,68338.0,20440.479173863387
72,60481.333333333336,13837.835316193616
73,67546.86666666667,23576.02068951376
74,58911.6,18889.018872652665
75,66555.13333333333,17127.29899841047
76,56391.73333333333,21439.67328997698
77,62071.333333333336,13143.912081626377
78,67468.06666666667,16528.43925942135
79,55634.666666666664,11956.761856591364
80,59843.86666666667,19014.79621567924
81,56632.066666666666,17861.35314209611
82,54744.933333333334,14692.164507784737
83,59738.26666666667,14685.560393347836
84,52772.666666666664,17606.820401954086
85,60196.8,19399.913001277684
86,62159.666666666664,19230.62639818752
87,72787.26666666666,15251.918846336617
88,53337.86666666667,17787.984495426226
89,59989.13333333333,18483.792695481192
90,56258.0,22273.16076421511
91,57680.8,22476.141474906228
92,55616.46666666667,18499.617837236787
93,60939.53333333333,20680.762029572543
94,57774.46666666667,14937.64843735771
95,64189.73333333333,11484.060104999367
96,60758.333333333336,22595.22513296833
97,60566.53333333333,14469.232405678049
98,59129.2,23271.85147094477
99,57493.066666666666,15040.37714889332
100,66312.26666666666,13823.944534583394
