round,sched_cfg_cnt_mean,sched_cfg_cnt_std
1,7153.133333333333,1073.4882970063175
2,6545.133333333333,1666.4152658011863
3,6587.666666666667,1110.487902208926
4,6824.666666666667,1080.170533273511
5,6619.8,1439.0427969412765
6,6363.8,1355.1008502269174
7,6029.6,1608.9418350491817
8,5854.6,1499.027580037901
9,6354.333333333333,1268.312414569999
10,5509.8,1912.0753945087297
11,6659.0,1186.9002846550698
12,6149.333333333333,1174.8653823594711
13,5992.733333333334,1179.998575463224
14,6200.133333333333,1390.739467573516
15,5754.866666666667,1649.9324603781586
16,4887.533333333334,1559.6345664777953
17,5894.466666666666,1372.0665782818614
18,6267.333333333333,1050.0441940812823
19,5993.666666666667,1476.1579312848737
20,6172.8,1287.323591243254
21,5329.2,1555.1594865387372
22,5810.733333333334,1090.9096772004198
23,6330.466666666666,1361.5370445968497
24,5428.0,1324.466469402464
25,6433.6,1058.1162372010797
26,5383.6,1533.7856434326147
27,5917.533333333334,1398.7770611025428
28,5600.8,1166.6789985742803
29,5646.2,1578.9079951481838
30,5975.0,1602.882626484458
31,5958.4,1511.5419657706213
32,5563.733333333334,1626.9965083230013
33,5322.066666666667,1400.762775198196
34,6352.933333333333,1561.3327853685346
35,5890.466666666666,1505.0934411745561
36,5898.2,1182.3903875503338
37,5061.6,1205.7060646300633
38,5915.133333333333,1343.6731036691212
39,5192.666666666667,1597.5168081685251
40,5149.2,2025.5084088410283
41,5544.466666666666,1428.628106494712
42,5348.733333333334,2023.7397654083982
43,5878.0,1353.2639907170474
44,6475.333333333333,1255.5260517674121
45,5771.6,1640.666711170449
46,5731.733333333334,1227.8647242071827
47,4080.266666666667,1724.0709906939394
48,5674.4,972.7057843238844
49,5490.466666666666,1032.782155612877
50,5356.066666666667,1653.3118047753496
51,4467.733333333334,1268.029600075119
52,5314.6,1620.5679251422941
53,5518.0,1349.0102721201622
54,5786.466666666666,1512.307077031016
55,5284.933333333333,1658.4609245005558
56,5195.266666666666,930.8810317318187
57,5374.133333333333,1118.898046336322
58,5712.933333333333,1181.2550508836334
59,4718.6,1725.3931146263449
60,5462.466666666666,1488.7654937021127
61,5888.066666666667,1349.8318131565588
62,4639.2,1770.487229146663
63,4880.2,1575.7486746668346
64,5923.6,1445.6813914947809
65,4754.6,1462.379020637263
66,5608.333333333333,1774.6457862533207
67,5596.8,1116.7715714760752
68,5049.6,1491.8527694495478
69,6093.266666666666,1366.7646608305463
70,5320.866666666667,1651.0764396368236
71,5841.333333333333,1750.8745025870712
72,5196.0,1185.9152583553346
73,5794.2,2015.1842950105438
74,5057.6,1616.2716709407841
75,5720.466666666666,1477.541532733473
76,4812.733333333334,1831.532592692589
77,5322.4,1155.1492049576477
78,5767.4,1424.5505456609314
79,4763.133333333333,1024.3947946168485
80,5117.733333333334,1628.512356489227
81,4841.933333333333,1527.3742859966608
82,4693.666666666667,1262.7886185890713
83,5106.266666666666,1251.9284248519884
84,4508.666666666667,1501.7000683352503
85,5154.533333333334,1659.3715620536532
86,5325.8,1626.4889969326127
87,6240.333333333333,1294.4013324791542
88,4581.2,1535.1669616038512
89,5128.133333333333,1584.6736873054008
90,4823.8,1918.5286475391945
91,4913.066666666667,1910.5910628713332
92,4752.066666666667,1587.89381916814
93,5220.666666666667,1770.683510748913
94,4939.0,1282.2940380427572
95,5492.6,995.6371829135351
96,5203.466666666666,1934.732017865105
97,5188.6,1251.751960824736
98,5043.466666666666,1976.5065092107288
99,4905.666666666667,1281.0568553607086
100,5658.4,1171.7717842164125
