round,total_ul_rbg
1,53758
2,53276
3,45912
4,43068
5,41791
6,22793
7,22571
8,22570
9,23193
10,23334
11,22097
12,22564
13,23039
14,23411
15,22625
16,22191
17,23470
18,22248
19,23538
20,25208
21,24018
22,23104
23,21958
24,22218
25,21759
26,22798
27,22951
28,21901
29,21550
30,21530
31,22531
32,20029
33,16524
34,15634
35,16175
36,15965
37,15378
38,15581
39,16048
40,15805
41,17041
42,15453
43,15413
44,15969
45,15942
46,16230
47,15116
48,15606
49,17373
50,15877
51,15661
52,15484
53,17100
54,15763
55,15435
56,15786
57,15556
58,15446
59,15255
60,16939
61,16315
62,17014
63,15975
64,16290
65,16156
66,16164
67,15378
68,16237
69,15969
70,16221
71,15739
72,16429
73,15688
74,16007
75,15304
76,16241
77,16246
78,16238
79,14786
80,15201
81,16441
82,16041
83,16121
84,16167
85,16292
86,16288
87,17054
88,16671
89,15227
90,15644
91,15823
92,16024
93,15757
94,15410
95,15496
96,15055
97,15539
98,16128
99,15507
100,15835
