round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
21,101,106,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
22,106,111,5,1.0.0.2,2652.51,2361.9,2361.9,22.1288,1.6082,40.471,59.529,3652,2174,1657822,1476188
22,106,111,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
23,111,116,5,1.0.0.2,4032.95,3902.86,3902.86,15.6676,1.72902,11.7707,88.2293,3908,3448,2520595,2439290
23,111,116,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
24,116,121,5,1.0.0.2,2495.82,2369.93,2369.93,13.9881,1.80108,2.8496,97.1504,1895,1841,1559886,1481208
24,116,121,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
25,121,126,5,1.0.0.2,1463.98,1359.51,1359.51,14.4098,1.8471,18.8823,81.1177,2362,1916,914986,849691
25,121,126,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
26,126,131,5,1.0.0.2,4880.68,4803.04,4803.04,21.4664,1.3255,0.857719,99.1423,3964,3930,3050428,3001901
26,126,131,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
27,131,136,5,1.0.0.2,2228.63,2034.44,2034.44,15.3674,2.4194,33.2706,66.7294,3718,2481,1392893,1271527
27,131,136,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
28,136,141,5,1.0.0.2,3740.14,3674.3,3674.3,18.4605,1.42095,10.2201,89.7799,3816,3426,2337585,2296437
28,136,141,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
29,141,146,5,1.0.0.2,4880.76,4804.77,4804.77,19.2298,1.49629,0.839908,99.1601,3929,3896,3050477,3002980
29,141,146,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
30,146,150.645,4.64507,1.0.0.2,7799.28,7694.69,7694.69,22.5321,1.42055,0.702459,99.2975,5979,5937,4528525,4467795
30,146,150.645,4.64507,5.0.0.2,4430.35,2714.45,2714.45,7.41187,0.420092,38.7321,61.2679,2445,1498,2572406,1576101
31,150.645,155.645,5,1.0.0.2,4937.22,4824.04,4824.04,19.4285,1.71821,10.4814,89.5186,4570,4091,3085763,3015023
31,150.645,155.645,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
32,155.645,160.645,5,1.0.0.2,6162.97,5980.35,5980.35,22.3206,2.22351,1.55875,98.4412,5004,4926,3851858,3737717
32,155.645,160.645,5,5.0.0.2,3210.04,2333.2,2333.2,7.37625,0.39462,27.3204,72.6796,1907,1386,2006274,1458250
33,160.645,165.645,5,1.0.0.2,4671.98,4483.77,4483.77,17.2645,1.82244,1.95766,98.0423,4393,4307,2919990,2802356
