round,total_ul_rbg
1,3584
2,13063
3,31257
4,34507
5,31162
6,46804
7,48696
8,48153
9,47585
10,43744
11,27437
12,40759
13,57505
14,42154
15,45706
16,37424
17,54227
18,29534
19,20035
20,53868
21,50048
22,22280
23,35570
24,25231
25,11718
26,42333
27,26105
28,28922
29,40028
30,62822
31,43757
32,58785
33,41297
34,37502
35,56942
36,37723
37,39711
38,45910
39,33150
40,30487
41,46116
42,24585
43,27451
44,23065
45,36788
46,44762
47,9604
48,60159
49,61377
50,41367
51,49781
52,42121
53,52903
54,41099
55,34912
56,40067
57,43891
58,39660
59,41248
60,65048
61,33350
62,49447
63,48480
64,60085
65,51068
66,41615
67,29455
68,46578
69,34313
70,55860
71,53100
72,44715
73,44901
74,42445
75,9291
76,61618
77,27875
78,54106
79,67150
80,27156
81,42794
82,41931
83,35333
84,39373
85,45060
86,40985
87,67060
88,52837
89,21684
90,29419
91,19993
92,46269
93,28330
94,27289
95,41773
96,18413
97,32096
98,38082
99,39684
100,21979
