round,ids
2,4.44107
3,3.08007;3.27407;3.52907
4,3.35007;3.68903
5,4.49607;4.52357
6,3.52457;3.70657;3.74557;3.81307
7,3.18607;4.79957;4.96457
8,3.58807;3.58953;3.77253
9,2.29353;2.73953;2.75207;3.23657
10,3.34257;3.62707;4.90857
11,3.28657;3.87507
12,3.53407;3.58357;3.74853;3.83257
13,3.23007;3.38056;3.46653;4.07606;4.56857
14,2.39857;3.53407;4.86907
15,3.41707;3.74057;3.87407
16,3.22957;3.28653;3.40457;3.51303
17,2.30957;2.89507;3.75307;4.01103;4.86057
18,2.48853;2.59457
19,2.79457
20,3.18903;3.20407;4.00903;4.07857
21,3.63257;4.91703
22,1.79267;2.87757
23,1.74857;2.56007;3.89357
24,1.44007;3.60357
25,1.90053
26,2.70257;3.04003;3.17803;3.73353
27,2.62453
28,2.00407;2.38307;2.47057
29,2.27407;2.35603;2.59707;2.82307
30,3.44107;3.51956;3.83657;4.06757;4.27907;4.64507
31,2.4;2.589;2.679;4.577
32,2.264;2.75047;3.7395;3.77146;4.003
33,2.59996;2.82496;3.4365
34,1.28696;2.647;4.1215
35,2.371;2.61497;3.3365;3.54597;4.69701
36,1.73996;3.588;4.596
37,1.502;1.7615;1.97446;3.046
38,1.16;2.13396;2.6785;2.778;2.9145
39,1.8885;2.1175;2.27
40,1.667;3.02701
41,1.71;2.07546;3.2605
42,1.54051;3.8205
43,1.79946;1.8785;1.879
44,1.551;3.5105
45,1.49;1.942;2.302;2.30346
46,1.9665;2.596;2.81146;3.156
47,2.144
48,1.652;2.7275;2.9585;3.1665;3.637
49,2.7105;3.1075;3.187;3.85747
50,1.4715;1.67296;2.01196
51,2.0915;2.527;2.56496;2.715
52,1.13496;1.99646;2.79196;3.1835
53,3.00046;3.24596;4.724;4.983
54,1.4875;1.742;2.114;2.116
55,1.5315;1.902;2.166
56,1.9825;2.1485;2.318;3.659
57,1.76501;2.0605;2.46946;4.52447
58,1.678;2.10246;2.222;2.636
59,2.8595;3.01396;3.045;3.1835
60,3.7105;3.94947;4.3155;4.6195;4.84401
61,1.838;2.198;2.554
62,2.792;2.88446;3.73551;4.4285
63,1.26501;2.4785;2.71496;3.23296
64,1.8215;2.754;3.37197;3.552;3.8655
65,2.4525;3.5885;3.69397;3.747;4.1655
66,1.91296;3.0755
67,1.32201;1.83947;1.84
68,2.276;2.8515;2.876;3.10596
69,1.28446;1.61396;3.333
70,2.6235;3.2615;3.3305
71,1.6225;1.8635;2.2585;2.282
72,1.62746;1.8475;2.1015;4.8245
73,1.3215;2.4445;3.2735;3.85296
74,2.07;2.191;2.2575;3.7785
75,1.005
76,1.279;2.8445;3.6275;4.084;4.68751
77,3.0645;3.2575
78,1.9835;2.96896
79,3.136;3.247;3.333;3.8355;4.277;4.5485
80,1.5165;1.74046;1.8275
81,1.772;2.831;3.1045;4.335
82,1.3765;2.25;3.838;4.388
83,3.06596;3.20446;3.4605
84,1.1755;2.2495;2.3025;2.66496
85,1.82046;2.0925;3.354;3.495
86,1.9195;2.5545;3.0535
87,1.539;2.78446;3.417;4.51;4.607
88,1.53396;2.8;3.36696;3.542;3.71696
89,1.183;1.3945
90,1.4275;2.22851
91,1.519
92,2.30496;2.66146;2.6645;4.62296
93,1.784;1.78546;2.627
94,1.2535;1.68451;1.858
95,1.128;2.30546;2.31046;4.1255
96,1.16;1.38596
97,2.2355;2.3865;3.13896
98,2.7485;3.2205;3.4965
99,1.11146;2.11246;2.211;2.856
100,2.13146;2.3175
