round,total_tbSize
1,273870
2,1121672
3,2824750
4,3281924
5,2955808
6,4430399
7,4834676
8,4533936
9,4522672
10,4340453
11,2776722
12,3715645
13,5595155
14,4313714
15,4406469
16,3349034
17,5175678
18,2908711
19,2221475
20,5417612
21,4905006
22,2471861
23,3314509
24,2567630
25,1132027
26,3906159
27,2631554
28,2766017
29,3692434
30,5797751
31,4282742
32,5779977
33,4101195
34,3684080
35,5594194
36,3888617
37,3849049
38,4241514
39,3124478
40,3129581
41,4657671
42,2493456
43,2478716
44,2258084
45,3508403
46,4354991
47,1089101
48,5578284
49,6190236
50,3999954
51,4740738
52,3912946
53,5416329
54,3928362
55,3365129
56,3654180
57,4163343
58,3616097
59,3763910
60,6332235
61,3096475
62,5107846
63,4551159
64,5893063
65,4723574
66,4281032
67,2828099
68,4575496
69,3476150
70,5341926
71,5108884
72,4455407
73,4278741
74,4162717
75,823090
76,6180027
77,2959200
78,5525780
79,6541222
80,2488838
81,4159493
82,4239357
83,3481407
84,3748975
85,4443946
86,4181990
87,6794655
88,4882878
89,2042687
90,3009630
91,2077848
92,4407228
93,2804127
94,2574186
95,3919883
96,1737936
97,3035126
98,3878594
99,3687175
100,2085102
