round,total_tbSize
1,4387940
2,5221665
3,6820354
4,5434209
5,5261965
6,5195282
7,4651714
8,3708770
9,4074680
10,4526875
11,4278597
12,4648548
13,4629759
14,4969937
15,3742359
16,2749135
17,5013364
18,5104532
19,4532893
20,4929780
21,3362776
22,4776864
23,4220570
24,4335436
25,5811801
26,7346706
27,4468178
28,5316377
29,3479248
30,5416576
31,4986156
32,4719880
33,5316485
34,4618841
35,3801495
36,5355191
37,4576551
38,3847973
39,4390707
40,4911370
41,5445560
42,5205219
43,4135514
44,5996238
45,5054575
46,4949521
47,5086003
48,5511821
49,4576633
50,3639374
51,3783421
52,5265017
53,4135975
54,4361774
55,4347009
56,4006566
57,4000894
58,3776363
59,4003809
60,4628617
61,4959993
62,3932477
63,4294619
64,4564313
65,4188060
66,4332460
67,4249743
68,4777127
69,5340372
70,4511068
71,5399846
72,4785034
73,4875328
74,5141690
75,5825407
76,5174690
77,4132111
78,5034986
79,4562807
80,3321251
81,3320797
82,5485548
83,4293945
84,3922663
85,3069516
86,4670632
87,4113015
88,3765981
89,3352217
90,2625424
91,4047740
92,4142188
93,5068565
94,4480751
95,5456173
96,3422851
97,4871634
98,5422927
99,5140623
100,5116670
