round,count
1,6081
2,5967
3,6401
4,6434
5,5599
6,4380
7,5195
8,3371
9,5557
10,5349
11,5677
12,4945
13,5161
14,6330
15,2998
16,2023
17,5078
18,6683
19,6023
20,4984
21,3099
22,5021
23,5013
24,5004
25,7185
26,7741
27,5058
28,5856
29,3034
30,6412
31,5503
32,5096
33,6951
34,4634
35,3500
36,6740
37,4286
38,4615
39,4379
40,4846
41,5762
42,9425
43,5225
44,6229
45,4925
46,4469
47,6165
48,6455
49,4202
50,2802
51,3113
52,9051
53,3166
54,5119
55,6173
56,5180
57,3172
58,3915
59,5148
60,6011
61,6494
62,3629
63,6066
64,5476
65,4610
66,5892
67,5890
68,4660
69,6307
70,4748
71,4825
72,4855
73,7709
74,4703
75,6656
76,6711
77,5252
78,5141
79,5874
80,2776
81,4612
82,6600
83,4436
84,3395
85,2186
86,4536
87,5168
88,3984
89,4109
90,1986
91,5500
92,4592
93,4917
94,4730
95,6587
96,3743
97,5698
98,5756
99,5416
100,6179
