round,ndi0_count,ndi1_count
1,115,5966
2,431,5536
3,331,6070
4,61,6373
5,26,5573
6,110,4270
7,140,5055
8,262,3109
9,13,5544
10,77,5272
11,117,5560
12,138,4807
13,419,4742
14,23,6307
15,117,2881
16,64,1959
17,379,4699
18,86,6597
19,141,5882
20,407,4577
21,5,3094
22,170,4851
23,43,4970
24,312,4692
25,335,6850
26,434,7307
27,86,4972
28,220,5636
29,44,2990
30,213,6199
31,301,5202
32,83,5013
33,85,6866
34,125,4509
35,98,3402
36,71,6669
37,310,3976
38,279,4336
39,262,4117
40,258,4588
41,125,5637
42,143,9282
43,7,5218
44,210,6019
45,319,4606
46,112,4357
47,39,6126
48,306,6149
49,166,4036
50,21,2781
51,181,2932
52,133,8918
53,172,2994
54,31,5088
55,24,6149
56,2,5178
57,212,2960
58,237,3678
59,2,5146
60,68,5943
61,1,6493
62,75,3554
63,135,5931
64,411,5065
65,32,4578
66,29,5863
67,95,5795
68,134,4526
69,91,6216
70,28,4720
71,383,4442
72,190,4665
73,293,7416
74,193,4510
75,308,6348
76,174,6537
77,0,5252
78,193,4948
79,150,5724
80,192,2584
81,4,4608
82,145,6455
83,233,4203
84,171,3224
85,111,2075
86,109,4427
87,0,5168
88,234,3750
89,19,4090
90,127,1859
91,17,5483
92,0,4592
93,229,4688
94,31,4699
95,78,6509
96,277,3466
97,489,5209
98,87,5669
99,315,5101
100,79,6100
