round,total_numsym
1,70631
2,68980
3,74335
4,75027
5,65714
6,51401
7,60857
8,38919
9,65341
10,62628
11,66511
12,57909
13,59700
14,74222
15,35011
16,23773
17,58193
18,78314
19,70130
20,57229
21,36424
22,58860
23,58726
24,57606
25,83069
26,89092
27,59169
28,68494
29,35501
30,73765
31,63379
32,59618
33,80839
34,53913
35,41037
36,78657
37,49564
38,53262
39,50920
40,55694
41,67452
42,109158
43,61372
44,72256
45,56391
46,52086
47,72368
48,74202
49,48756
50,32903
51,36591
52,105292
53,36782
54,60051
55,72500
56,60849
57,36927
58,45746
59,60535
60,70348
61,76306
62,42497
63,70320
64,63299
65,54030
66,69165
67,69159
68,54428
69,73986
70,55776
71,55696
72,56427
73,88839
74,54451
75,76528
76,78304
77,61761
78,59908
79,67689
80,32298
81,54216
82,76925
83,51603
84,39435
85,25680
86,52709
87,60780
88,46454
89,48268
90,23275
91,64641
92,54007
93,56823
94,55533
95,77425
96,43437
97,65695
98,67468
99,62658
100,72145
