round,total_ul_rbg
1,33271
2,33685
3,28141
4,25051
5,21900
6,27999
7,27629
8,27093
9,26710
10,27524
11,26229
12,27530
13,29259
14,19975
15,28595
16,26535
17,29517
18,20568
19,27829
20,28385
21,27124
22,28095
23,27026
24,28249
25,28309
26,29871
27,27667
28,28134
29,27435
30,22425
31,28130
32,27280
33,20266
34,27795
35,27024
36,22825
37,29715
38,26818
39,27871
40,27967
41,28703
42,27837
43,27533
44,27126
45,29284
46,27305
47,20785
48,27524
49,28766
50,27397
51,29091
52,20191
53,26724
54,26347
55,28029
56,27094
57,27880
58,28368
59,26724
60,27775
61,18712
62,27972
63,26438
64,28605
65,26555
66,27085
67,26068
68,27608
69,20351
70,27582
71,30162
72,26950
73,27661
74,28430
75,27579
76,28738
77,27322
78,28337
79,26679
80,28604
81,26290
82,25076
83,28933
84,27553
85,27765
86,26787
87,26618
88,27915
89,26827
90,28069
91,26502
92,27392
93,29066
94,27520
95,25574
96,28069
97,30381
98,25792
99,30385
100,21122
