round,total_ul_rbg
1,53561
2,55342
3,62153
4,62841
5,41068
6,60582
7,56690
8,52415
9,49615
10,60200
11,56471
12,54983
13,57205
14,49902
15,60882
16,60035
17,48546
18,50394
19,50448
20,49313
21,63970
22,52575
23,64830
24,57236
25,62243
26,50398
27,52046
28,53187
29,57652
30,51105
31,55076
32,58759
33,60610
34,58427
35,52563
36,51496
37,61484
38,46695
39,40179
40,56808
41,51770
42,40050
43,45126
44,50021
45,46779
46,60379
47,56837
48,56677
49,62575
50,57292
51,57826
52,51811
53,56862
54,63289
55,50793
56,51117
57,58064
58,51563
59,47584
60,55785
61,36407
62,59069
63,54130
64,48610
65,61942
66,55527
67,52823
68,54590
69,46791
70,56461
71,55687
72,56257
73,51362
74,60358
75,58159
76,48298
77,49935
78,58078
79,36258
80,53144
81,57885
82,41058
83,46817
84,56670
85,57430
86,42366
87,53593
88,56116
89,53110
90,53216
91,45545
92,61463
93,39932
94,40520
95,47609
96,53317
97,58129
98,46147
99,45620
100,59448
