round,total_numsym
1,65772
2,90941
3,78744
4,79423
5,42728
6,74961
7,60129
8,66503
9,58245
10,67774
11,80673
12,55201
13,83629
14,71128
15,81573
16,83079
17,67161
18,71482
19,61988
20,58962
21,54048
22,68075
23,78072
24,62232
25,70526
26,76228
27,55074
28,62339
29,75497
30,63522
31,66908
32,106760
33,70433
34,75927
35,90920
36,59193
37,76322
38,55419
39,37413
40,95365
41,61821
42,32496
43,50528
44,74716
45,48523
46,74361
47,56396
48,66615
49,81837
50,68849
51,73650
52,67489
53,56633
54,89995
55,55645
56,49911
57,69300
58,72647
59,55085
60,76856
61,46139
62,71269
63,51261
64,47832
65,75988
66,96670
67,53909
68,94579
69,76907
70,77639
71,72950
72,59771
73,57394
74,86195
75,74877
76,68092
77,65367
78,84348
79,46981
80,52099
81,85500
82,41536
83,63336
84,87063
85,91531
86,38211
87,56773
88,77454
89,66167
90,63149
91,64146
92,82031
93,38034
94,35434
95,55148
96,77136
97,72077
98,50046
99,61700
100,77368
