round,count
1,5662
2,7740
3,6748
4,6796
5,3642
6,6445
7,5153
8,5754
9,4997
10,5779
11,6863
12,4749
13,7127
14,6081
15,6993
16,7102
17,5735
18,6141
19,5399
20,5067
21,4622
22,5870
23,6797
24,5363
25,6033
26,6573
27,4740
28,5308
29,6462
30,5420
31,5693
32,9222
33,6003
34,6525
35,7763
36,5098
37,6510
38,4812
39,3208
40,8157
41,5328
42,2789
43,4307
44,6506
45,4212
46,6328
47,4816
48,5718
49,7007
50,5942
51,6276
52,5841
53,4858
54,7887
55,4764
56,4276
57,5995
58,6194
59,4710
60,6537
61,3922
62,6075
63,4441
64,4076
65,6570
66,8225
67,4678
68,8041
69,6548
70,6604
71,6205
72,5147
73,5097
74,7508
75,6439
76,5794
77,5649
78,7209
79,3998
80,4469
81,7333
82,3552
83,5452
84,7446
85,7793
86,3325
87,5026
88,6587
89,5725
90,5442
91,5474
92,7123
93,3268
94,3019
95,4729
96,6675
97,6154
98,4312
99,5249
100,6626
