flow_id,src,sport,dst,dport,start,end,active_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,7.0.0.152,49153,5.0.0.2,50000,1.00904,463.423,462.414,812.419,812.346,812.346,13.6511,3.60481,0.00896097,99.991,44638,44634,46959176,46954968
2,7.0.0.103,49153,1.0.0.2,9,1.013,6.00556,4.99256,1159.32,1159.32,1159.32,10.9343,0.884605,0,100,798,798,723500,723500
3,7.0.0.153,49153,5.0.0.2,50000,1.01706,8.01457,6.9975,61332.4,892.414,892.414,16.9374,3.74657,98.545,1.45504,50995,742,53646740,780584
4,7.0.0.156,49153,5.0.0.2,50000,1.01899,174.627,173.608,1381.65,518.948,518.948,14.0842,4.32805,62.4399,37.5601,28501,10705,29983052,11261660
5,7.0.0.157,49153,5.0.0.2,50000,1.02767,463.408,462.38,539.71,539.692,539.692,14.4917,4.2287,0.00337245,99.9966,29652,29651,31193904,31192852
6,7.0.0.154,49153,5.0.0.2,50000,1.02839,463.425,462.397,935.085,935.067,935.067,14.831,3.43021,0.00194643,99.9981,51376,51375,54047552,54046500
8,7.0.0.155,49153,5.0.0.2,50000,1.04063,463.389,462.348,563.738,563.684,563.684,13.8925,4.10573,0.00968679,99.9903,30970,30967,32580440,32577284
9,7.0.0.150,49153,1.0.0.2,9,1.042,6.00406,4.96206,1181.79,1181.79,1181.79,27.5785,1.07467,0,100,981,981,733016,733016
11,7.0.0.136,49153,1.0.0.2,9,1.08,6.00406,4.92406,1190.74,1190.74,1190.74,22.3206,1.30509,0,100,979,979,732912,732912
12,7.0.0.66,49153,1.0.0.2,9,1.093,3.89406,2.80106,109.17,39.3679,39.3679,5.46478,1.26449,63.9456,36.0544,735,265,38224,13784
15,7.0.0.72,49153,1.0.0.2,9,1.174,6.00406,4.83006,1281.18,1213.84,1213.84,37.6378,2.07149,2.77778,97.2222,1008,980,773520,732864
16,7.0.0.126,49153,1.0.0.2,9,1.178,6.00406,4.82606,1267.19,1214.24,1214.24,12.8997,2.04225,2.21106,97.7889,995,973,764444,732500
19,7.0.0.81,49153,1.0.0.2,9,6.024,9.72357,3.69957,1564.62,1564.62,1564.62,9.83289,0.842499,0,100,799,799,723552,723552
21,7.0.0.52,49153,1.0.0.2,9,6.053,9.73656,3.68356,1591.53,1591.53,1591.53,23.2245,1.38236,0,100,979,979,732812,732812
23,7.0.0.69,49153,1.0.0.2,9,6.109,9.72206,3.61306,1622.7,1622.7,1622.7,29.2966,1.39369,0,100,980,980,732864,732864
25,7.0.0.8,49153,1.0.0.2,9,6.142,9.72206,3.58006,1637.54,1637.54,1637.54,16.5048,0.724653,0,100,979,979,732812,732812
27,7.0.0.88,49153,1.0.0.2,9,6.156,9.72206,3.56606,1644.08,1644.08,1644.08,29.331,1.39165,0,100,980,980,732864,732864
29,7.0.0.27,49153,1.0.0.2,9,6.181,9.73656,3.55556,1648.94,1648.94,1648.94,23.2818,1.39101,0,100,980,980,732864,732864
31,7.0.0.95,49153,1.0.0.2,9,9.81657,13.8171,4.0005,1492.71,1463.67,1463.67,8.5345,1.2249,1.02881,98.9712,972,962,746448,731928
32,7.0.0.45,49153,1.0.0.2,9,9.82557,13.8171,3.9915,1468.75,1468.75,1468.75,16.6715,1.45105,0,100,979,979,732812,732812
33,7.0.0.27,49154,1.0.0.2,9,9.83357,13.8186,3.985,1469.78,1469.78,1469.78,8.71126,0.984821,0,100,964,964,732132,732132
36,7.0.0.13,49153,1.0.0.2,9,9.83957,13.8171,3.9775,1503.22,1474.02,1474.02,32.7796,1.5808,1.0101,98.9899,990,980,747384,732864
38,7.0.0.59,49153,1.0.0.2,9,9.85557,13.8206,3.965,1492.9,1478.25,1478.25,18.8755,1.53399,0.509684,99.4903,981,976,739916,732656
41,7.0.0.28,49153,1.0.0.2,9,9.86457,13.8171,3.9525,1515.57,1483.24,1483.24,33.1749,1.60536,1.11111,98.8889,990,979,748784,732812
43,7.0.0.132,49153,1.0.0.2,9,13.8226,18.1556,4.333,1353.37,1353.37,1353.37,12.1762,1.19675,0,100,981,981,733016,733016
44,7.0.0.95,49154,1.0.0.2,9,13.8256,18.1581,4.3325,1422.76,1353.05,1353.05,16.0226,2.19004,2.58964,97.4104,1004,978,770512,732760
47,7.0.0.27,49155,1.0.0.2,9,13.9296,18.1556,4.226,1387.53,1387.53,1387.53,13.3584,1.30214,0,100,980,980,732964,732964
49,7.0.0.63,49153,1.0.0.2,9,13.9656,18.1556,4.19,1398.37,1398.37,1398.37,11.8741,1.16717,0,100,971,971,732396,732396
51,7.0.0.24,49153,1.0.0.2,9,13.9816,18.1591,4.1775,1401.86,1401.86,1401.86,12.2277,1.22132,0,100,964,964,732032,732032
53,7.0.0.28,49154,1.0.0.2,9,13.9916,18.1556,4.164,1407.59,1407.59,1407.59,13.0624,1.29739,0,100,974,974,732652,732652
55,7.0.0.149,49153,1.0.0.2,9,18.1531,23.1571,5.004,1171.39,1171.39,1171.39,12.6363,1.25796,0,100,975,975,732704,732704
56,7.0.0.13,49154,1.0.0.2,9,18.1551,23.1571,5.002,1171.94,1171.94,1171.94,12.4082,1.22959,0,100,976,976,732756,732756
59,7.0.0.73,49153,1.0.0.2,9,18.1831,23.1571,4.974,1178.87,1178.87,1178.87,17.5966,1.04194,0,100,980,980,732964,732964
60,7.0.0.66,49154,1.0.0.2,9,18.1951,0,0,0,0,0,0,0,100,0,3,0,164,0
62,7.0.0.65,49153,1.0.0.2,9,18.2421,23.1581,4.916,1267.64,1191.94,1191.94,19.7768,1.83819,3.28358,96.7164,1005,972,778964,732448
64,7.0.0.40,49153,1.0.0.2,9,18.3481,19.8471,1.499,195.95,56.0802,56.0802,5.30864,1.28685,71.3881,28.6119,706,202,36716,10508
66,7.0.0.51,49153,1.0.0.2,9,23.1601,27.7076,4.5475,1281.02,1281.02,1281.02,10.5065,1.04317,0,100,888,888,728180,728180
68,7.0.0.72,49154,1.0.0.2,9,23.1911,27.7061,4.515,1326.38,1298.08,1298.08,24.6554,1.83921,1.11562,98.8844,986,975,748576,732604
