round,ndi0_count,ndi1_count
1,228,5434
2,0,7740
3,173,6575
4,147,6649
5,142,3500
6,162,6283
7,185,4968
8,392,5362
9,170,4827
10,127,5652
11,10,6853
12,250,4499
13,48,7079
14,51,6030
15,161,6832
16,103,6999
17,82,5653
18,111,6030
19,220,5179
20,214,4853
21,278,4344
22,186,5684
23,612,6185
24,271,5092
25,181,5852
26,121,6452
27,211,4529
28,119,5189
29,153,6309
30,94,5326
31,17,5676
32,367,8855
33,84,5919
34,149,6376
35,272,7491
36,230,4868
37,58,6452
38,277,4535
39,266,2942
40,109,8048
41,314,5014
42,225,2564
43,59,4248
44,243,6263
45,234,3978
46,69,6259
47,86,4730
48,132,5586
49,302,6705
50,350,5592
51,109,6167
52,314,5527
53,262,4596
54,298,7589
55,153,4611
56,219,4057
57,271,5724
58,54,6140
59,94,4616
60,1,6536
61,3,3919
62,25,6050
63,243,4198
64,42,4034
65,325,6245
66,39,8186
67,399,4279
68,18,8023
69,3,6545
70,1,6603
71,30,6175
72,203,4944
73,289,4808
74,325,7183
75,168,6271
76,45,5749
77,177,5472
78,74,7135
79,12,3986
80,136,4333
81,125,7208
82,81,3471
83,122,5330
84,89,7357
85,33,7760
86,202,3123
87,381,4645
88,2,6585
89,210,5515
90,141,5301
91,39,5435
92,222,6901
93,198,3070
94,57,2962
95,196,4533
96,169,6506
97,156,5998
98,256,4056
99,3,5246
100,220,6406
