round,ids
1,121;80
2,7;8;66
3,35;109
4,96;144;42;48
5,13;124;19;79
6,19;80;84
7,121;23;83;63;94;65
8,18;42;21
9,122;50;6;4
10,88;52
11,50;4;136;80;100;101
12,116;147;71
13,94;80;5
14,52;136
15,110;66;130;17;8
16,110;7;113
17,21;83;141;3;102
18,76;61;34
19,129;61;115;92
20,92;125;9
21,123;132
22,42;107
23,6;67;19
24,96;100;23
25,7;60;101;104
26,50;7;58;41;61;135
27,137;6;66
28,20;127;93;134
29,121;37
30,122;116;13;52
31,144;139;63;6
32,90;39;21;75
34,7;150;26
35,150;96
36,81;70;93;58
37,26;69;138
38,61;42;121;145;81;140
39,51;134;101;46
40,31;148;49;144
41,128;35;150;58
42,130;115;112;113;114
43,27;68
44,129;141;131;101;92
45,70;84;37
46,44;147;46;150
47,149;114
48,136;51;94;80;8
49,84;68;109
50,147;148;12;48
51,115;137;113;56
52,17;67;49;10
53,109;34;35;9
54,122;62;27;8;127
55,124;91;83;17
56,80;120;8;50;104
57,127;46;107
58,18;148;100;60
59,97;122;13;108
60,10;17;116;90
61,4;8;13;72;112
62,50;96;139
63,128;149;141;6;60
64,124;56;123
65,4;142;51;137
66,145;46;96;70;9
67,67;112;109
68,16;148
69,12;34;136;139;127
70,139;100
71,8;80;39;46;148
72,31;143;26;43
73,127;110;27;93
74,112;91;67;144;101
75,148;58;88
76,51;121;145;21
77,52;125;138
78,6;129;115;12
79,108;26;7
80,52;125;115;139;16
81,122;49;136;19
82,10;44;69;105
83,137;62
84,91;96;77
85,121;94;41;91;75
86,130;63;44;18;123
87,67;80;6
88,139;112;127
89,4;112;110;121;100;7
90,48;124;129;21
91,138;41;63;56
92,41;66;26;7;46
93,6;96;34;92
94,42;8;51;127
95,62;113
96,137;6;101;5;108
97,102;145;16;72
98,51;96;17;5
99,49;91;72;113
100,131;68;92;6;142
