round,total_numsym
1,54730
2,69600
3,36755
4,58671
5,44369
6,62606
7,84964
8,53133
9,83456
10,38412
11,106981
12,57247
13,52407
14,22641
15,54515
16,53140
17,69450
18,44380
19,45697
20,48575
21,30194
22,20130
23,52025
24,52723
25,59410
26,86032
27,63798
28,50173
29,20715
30,94762
31,72946
32,59800
33,3033
34,58853
35,27157
36,32007
37,30732
38,86289
39,41192
40,45441
41,48517
42,53903
43,14994
44,58385
45,25732
46,59736
47,22617
48,66838
49,39389
50,43264
51,34775
52,63558
53,43530
54,61588
55,65091
56,55625
57,61841
58,41000
59,40670
60,56144
61,64857
62,32135
63,67530
64,23638
65,45924
66,47345
67,36368
68,23186
69,77647
70,19649
71,67168
72,33384
73,37806
74,69577
75,27845
76,35729
77,34201
78,41468
79,27025
80,62069
81,53179
82,39706
83,27282
84,32269
85,52680
86,55784
87,38152
88,29096
89,70443
90,49711
91,32129
92,59549
93,32081
94,56371
95,30257
96,53343
97,41226
98,39270
99,45607
100,45941
