round,ndi0_count,ndi1_count
1,406,4319
2,545,5501
3,325,2835
4,207,4826
5,207,3586
6,278,5132
7,179,7052
8,434,4147
9,477,6761
10,468,2842
11,382,8876
12,214,4691
13,523,3989
14,176,1764
15,168,4510
16,481,4103
17,330,5633
18,283,3534
19,235,3726
20,439,3747
21,363,2260
22,211,1526
23,222,4258
24,202,4284
25,626,4513
26,207,7167
27,890,4777
28,382,3937
29,193,1580
30,330,7853
31,419,5879
32,420,4901
33,55,204
34,286,4756
35,211,2117
36,74,2650
37,345,2301
38,299,7099
39,170,3349
40,107,3791
41,379,3811
42,242,4462
43,125,1157
44,161,4836
45,215,1991
46,405,4845
47,195,1756
48,246,5492
49,300,3096
50,135,3588
51,178,2823
52,214,5280
53,244,3487
54,118,5147
55,159,5384
56,354,4475
57,675,4733
58,150,3354
59,216,3267
60,229,4592
61,462,5215
62,183,2580
63,235,5622
64,3,2009
65,236,3712
66,60,3977
67,429,2706
68,159,1818
69,326,6386
70,86,1589
71,145,5709
72,46,2797
73,95,3158
74,103,5842
75,226,2158
76,19,3019
77,183,2769
78,6,3523
79,158,2150
80,61,5237
81,88,4462
82,279,3176
83,161,2184
84,237,2545
85,24,4470
86,10,4734
87,68,3182
88,99,2403
89,18,5972
90,0,4227
91,105,2639
92,92,5035
93,14,2718
94,196,4649
95,155,2428
96,416,4257
97,0,3504
98,157,3210
99,111,3769
100,26,3884
