round,count
1,4725
2,6046
3,3160
4,5033
5,3793
6,5410
7,7231
8,4581
9,7238
10,3310
11,9258
12,4905
13,4512
14,1940
15,4678
16,4584
17,5963
18,3817
19,3961
20,4186
21,2623
22,1737
23,4480
24,4486
25,5139
26,7374
27,5667
28,4319
29,1773
30,8183
31,6298
32,5321
33,259
34,5042
35,2328
36,2724
37,2646
38,7398
39,3519
40,3898
41,4190
42,4704
43,1282
44,4997
45,2206
46,5250
47,1951
48,5738
49,3396
50,3723
51,3001
52,5494
53,3731
54,5265
55,5543
56,4829
57,5408
58,3504
59,3483
60,4821
61,5677
62,2763
63,5857
64,2012
65,3948
66,4037
67,3135
68,1977
69,6712
70,1675
71,5854
72,2843
73,3253
74,5945
75,2384
76,3038
77,2952
78,3529
79,2308
80,5298
81,4550
82,3455
83,2345
84,2782
85,4494
86,4744
87,3250
88,2502
89,5990
90,4227
91,2744
92,5127
93,2732
94,4845
95,2583
96,4673
97,3504
98,3367
99,3880
100,3910
