round,total_tbSize
1,3233921
2,4589376
3,2848666
4,3816657
5,3823165
6,4120706
7,5776296
8,4574930
9,6567373
10,3282299
11,5757494
12,3945454
13,4807171
14,2317464
15,4618149
16,5025368
17,5299123
18,3953986
19,4270850
20,4219781
21,2548078
22,2227325
23,3646755
24,3312019
25,5229348
26,5327893
27,5794043
28,5548626
29,2220490
30,5714326
31,5109192
32,4148148
33,227325
34,5128304
35,2894619
36,3373018
37,3564437
38,5943640
39,4488047
40,3576391
41,5500682
42,4690951
43,1918416
44,5031498
45,2895486
46,4704319
47,2696237
48,5603572
49,3804482
50,3439837
51,4152667
52,4101783
53,4386214
54,4556352
55,3736520
56,5039334
57,5516659
58,3879607
59,4345072
60,4643881
61,6412094
62,3692802
63,4402183
64,2432632
65,4012515
66,4330666
67,4360859
68,2829168
69,6119165
70,2284980
71,5351528
72,3630868
73,3773755
74,5381842
75,3355325
76,3482892
77,3759284
78,3208898
79,2924194
80,4076431
81,4008787
82,4280877
83,2879203
84,3908407
85,4322214
86,4071556
87,3895061
88,3040069
89,4848664
90,3234131
91,3618346
92,4551774
93,3586852
94,4759407
95,3472242
96,5409701
97,3201553
98,3850420
99,3865632
100,4056906
