round,avg_ul_mcs
1,27.3137
2,27.4835
3,27.3013
4,27.6352
5,27.2307
6,27.4569
7,27.7161
8,27.4351
9,27.5039
10,26.4329
11,27.7845
12,27.4775
13,27.279
14,26.8433
15,27.7225
16,27.2646
17,27.3713
18,27.383
19,27.5393
20,27.4646
21,26.0968
22,27.1572
23,27.5442
24,27.247
25,27.4236
26,27.6588
27,27.6937
28,27.6203
29,26.9244
30,27.6346
31,27.5054
32,27.6576
33,25.7027
34,27.7079
35,27.2706
36,27.6116
37,26.7441
38,27.7252
39,27.7065
40,27.598
41,27.4136
42,27.3172
43,27.1451
44,27.6886
45,26.9411
46,27.7358
47,26.9482
48,27.6284
49,27.4959
50,27.7475
51,27.4479
52,27.573
53,27.5189
54,27.7485
55,27.6172
56,27.4713
57,27.1971
58,27.6361
59,27.565
60,27.5895
61,27.433
62,27.2533
63,27.7523
64,27.3574
65,27.267
66,27.6569
67,26.925
68,27.3925
69,27.7102
70,27.6693
71,27.7933
72,27.5012
73,27.6228
74,27.7687
75,26.9262
76,27.6995
77,27.2923
78,27.7178
79,27.4558
80,27.7737
81,27.6009
82,27.3056
83,27.3087
84,27.2523
85,27.8122
86,27.6842
87,27.5
88,27.6523
89,27.8114
90,27.8675
91,27.5918
92,27.788
93,27.59
94,27.7053
95,27.3171
96,27.7548
97,27.6735
98,27.5887
99,27.6317
100,27.6706
